# Security Profile for General Identifiers
# File: xidmodifications.txt
# Version: 2.0
# Generated: 2006-08-15, 04:35:09 GMT
# Checkin: $Revision: 1.11 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# Characters restricted

0000..0008    ; restricted ; default-ignorable                                        #  [9] (U+0000..U+0008)  <control-0000>..<control-0008>
10800..10805  ; restricted ; archaic script                                           #  [6] (𐠀..𐠅)  CYPRIOT SYLLABLE A..CYPRIOT SYLLABLE JA
10808         ; restricted ; archaic script                                           #      (𐠈)  CYPRIOT SYLLABLE JO
1080A..10835  ; restricted ; archaic script                                           # [44] (𐠊..𐠵)  CYPRIOT SYLLABLE KA..CYPRIOT SYLLABLE WO
10837..10838  ; restricted ; archaic script                                           #  [2] (𐠷..𐠸)  CYPRIOT SYLLABLE XA..CYPRIOT SYLLABLE XE
1083C         ; restricted ; archaic script                                           #      (𐠼)  CYPRIOT SYLLABLE ZA
1083F         ; restricted ; archaic script                                           #      (𐠿)  CYPRIOT SYLLABLE ZO
10900..10919  ; restricted ; archaic script                                           # [26] (𐤀..𐤙)  PHOENICIAN LETTER ALF..PHOENICIAN NUMBER ONE HUNDRED
1091F         ; restricted ; archaic script                                           #      (𐤟)  PHOENICIAN WORD SEPARATOR
10A00..10A03  ; restricted ; archaic script                                           #  [4] (𐨀..𐨃)  KHAROSHTHI LETTER A..KHAROSHTHI VOWEL SIGN VOCALIC R
10A05..10A06  ; restricted ; archaic script                                           #  [2] (𐨅..𐨆)  KHAROSHTHI VOWEL SIGN E..KHAROSHTHI VOWEL SIGN O
10A0C..10A13  ; restricted ; archaic script                                           #  [8] (𐨌..𐨓)  KHAROSHTHI VOWEL LENGTH MARK..KHAROSHTHI LETTER GHA
10A15..10A17  ; restricted ; archaic script                                           #  [3] (𐨕..𐨗)  KHAROSHTHI LETTER CA..KHAROSHTHI LETTER JA
10A19..10A33  ; restricted ; archaic script                                           # [27] (𐨙..𐨳)  KHAROSHTHI LETTER NYA..KHAROSHTHI LETTER TTTHA
10A38..10A3A  ; restricted ; archaic script                                           #  [3] (𐨸..𐨺)  KHAROSHTHI SIGN BAR ABOVE..KHAROSHTHI SIGN DOT BELOW
10A3F..10A47  ; restricted ; archaic script                                           #  [9] (𐨿..𐩇)  KHAROSHTHI VIRAMA..KHAROSHTHI NUMBER ONE THOUSAND
10A50..10A58  ; restricted ; archaic script                                           #  [9] (𐩐..𐩘)  KHAROSHTHI PUNCTUATION DOT..KHAROSHTHI PUNCTUATION LINES
12000..1236E  ; restricted ; archaic script                                           # [879] (𒀀..𒍮)  CUNEIFORM SIGN A..CUNEIFORM SIGN ZUM
12400..12462  ; restricted ; archaic script                                           # [99] (𒐀..𒑢)  CUNEIFORM NUMERIC SIGN TWO ASH..CUNEIFORM NUMERIC SIGN OLD ASSYRIAN ONE QUARTER
12470..12473  ; restricted ; archaic script                                           #  [4] (𒑰..𒑳)  CUNEIFORM PUNCTUATION SIGN OLD ASSYRIAN WORD DIVIDER..CUNEIFORM PUNCTUATION SIGN DIAGONAL TRICOLON
1D000..1D0F5  ; restricted ; not in XID+                                              # [246] (𝀀..𝃵)  BYZANTINE MUSICAL SYMBOL PSILI..BYZANTINE MUSICAL SYMBOL GORGON NEO KATO
1D0F6..1D0FF  ; restricted ; technical symbol (musical)                               # [10] (U+1D0F6..U+1D0FF)  <reserved-1D0F6>..<reserved-1D0FF>
1D100..1D126  ; restricted ; not in XID+                                              # [39] (𝄀..𝄦)  MUSICAL SYMBOL SINGLE BARLINE..MUSICAL SYMBOL DRUM CLEF-2
1D127..1D129  ; restricted ; technical symbol (musical)                               #  [3] (U+1D127..U+1D129)  <reserved-1D127>..<reserved-1D129>
1D12A..1D15D  ; restricted ; not in XID+                                              # [52] (𝄪..𝅝)  MUSICAL SYMBOL DOUBLE SHARP..MUSICAL SYMBOL WHOLE NOTE
1D15E..1D169  ; restricted ; technical symbol (musical)                               # [12] (𝅗𝅥..𝅩)  MUSICAL SYMBOL HALF NOTE..MUSICAL SYMBOL COMBINING TREMOLO-3
1D16A..1D16C  ; restricted ; not in XID+                                              #  [3] (𝅪..𝅬)  MUSICAL SYMBOL FINGERED TREMOLO-1..MUSICAL SYMBOL FINGERED TREMOLO-3
1D16D..1D172  ; restricted ; technical symbol (musical)                               #  [6] (𝅭..𝅲)  MUSICAL SYMBOL COMBINING AUGMENTATION DOT..MUSICAL SYMBOL COMBINING FLAG-5
1D173..1D17A  ; restricted ; technical symbol (musical)                               #  [8] (U+1D173..U+1D17A)  MUSICAL SYMBOL BEGIN BEAM..MUSICAL SYMBOL END PHRASE
1D17B..1D182  ; restricted ; technical symbol (musical)                               #  [8] (𝅻..𝆂)  MUSICAL SYMBOL COMBINING ACCENT..MUSICAL SYMBOL COMBINING LOURE
1D183..1D184  ; restricted ; not in XID+                                              #  [2] (𝆃..𝆄)  MUSICAL SYMBOL ARPEGGIATO UP..MUSICAL SYMBOL ARPEGGIATO DOWN
1D185..1D18B  ; restricted ; technical symbol (musical)                               #  [7] (𝆅..𝆋)  MUSICAL SYMBOL COMBINING DOIT..MUSICAL SYMBOL COMBINING TRIPLE TONGUE
1D18C..1D1A9  ; restricted ; not in XID+                                              # [30] (𝆌..𝆩)  MUSICAL SYMBOL RINFORZANDO..MUSICAL SYMBOL DEGREE SLASH
1D1AA..1D1AD  ; restricted ; technical symbol (musical)                               #  [4] (𝆪..𝆭)  MUSICAL SYMBOL COMBINING DOWN BOW..MUSICAL SYMBOL COMBINING SNAP PIZZICATO
1D1AE..1D1BA  ; restricted ; not in XID+                                              # [13] (𝆮..𝆺)  MUSICAL SYMBOL PEDAL MARK..MUSICAL SYMBOL SEMIBREVIS BLACK
1D1BB..1D1C0  ; restricted ; technical symbol (musical)                               #  [6] (𝆹𝅥..𝆺𝅥𝅯)  MUSICAL SYMBOL MINIMA..MUSICAL SYMBOL FUSA BLACK
1D1C1..1D1DD  ; restricted ; not in XID+                                              # [29] (𝇁..𝇝)  MUSICAL SYMBOL LONGA PERFECTA REST..MUSICAL SYMBOL PES SUBPUNCTIS
1D242..1D244  ; restricted ; technical symbol (musical)                               #  [3] (𝉂..𝉄)  COMBINING GREEK MUSICAL TRISEME..COMBINING GREEK MUSICAL PENTASEME
1D300..1D356  ; restricted ; technical                                                # [87] (𝌀..𝍖)  MONOGRAM FOR EARTH..TETRAGRAM FOR FOSTERING
1D400..1D454  ; restricted ; technical symbol (math)                                  # [85] (𝐀..𝑔)  MATHEMATICAL BOLD CAPITAL A..MATHEMATICAL ITALIC SMALL G
1D455         ; restricted ; technical symbol (math)                                  #      (U+1D455)  <reserved-1D455>
1D456..1D49C  ; restricted ; technical symbol (math)                                  # [71] (𝑖..𝒜)  MATHEMATICAL ITALIC SMALL I..MATHEMATICAL SCRIPT CAPITAL A
1D49D         ; restricted ; technical symbol (math)                                  #      (U+1D49D)  <reserved-1D49D>
1D49E..1D49F  ; restricted ; technical symbol (math)                                  #  [2] (𝒞..𝒟)  MATHEMATICAL SCRIPT CAPITAL C..MATHEMATICAL SCRIPT CAPITAL D
1D4A0..1D4A1  ; restricted ; technical symbol (math)                                  #  [2] (U+1D4A0..U+1D4A1)  <reserved-1D4A0>..<reserved-1D4A1>
1D4A2         ; restricted ; technical symbol (math)                                  #      (𝒢)  MATHEMATICAL SCRIPT CAPITAL G
1D4A3..1D4A4  ; restricted ; technical symbol (math)                                  #  [2] (U+1D4A3..U+1D4A4)  <reserved-1D4A3>..<reserved-1D4A4>
1D4A5..1D4A6  ; restricted ; technical symbol (math)                                  #  [2] (𝒥..𝒦)  MATHEMATICAL SCRIPT CAPITAL J..MATHEMATICAL SCRIPT CAPITAL K
1D4A7..1D4A8  ; restricted ; technical symbol (math)                                  #  [2] (U+1D4A7..U+1D4A8)  <reserved-1D4A7>..<reserved-1D4A8>
1D4A9..1D4AC  ; restricted ; technical symbol (math)                                  #  [4] (𝒩..𝒬)  MATHEMATICAL SCRIPT CAPITAL N..MATHEMATICAL SCRIPT CAPITAL Q
1D4AD         ; restricted ; technical symbol (math)                                  #      (U+1D4AD)  <reserved-1D4AD>
1D4AE..1D4B9  ; restricted ; technical symbol (math)                                  # [12] (𝒮..𝒹)  MATHEMATICAL SCRIPT CAPITAL S..MATHEMATICAL SCRIPT SMALL D
1D4BA         ; restricted ; technical symbol (math)                                  #      (U+1D4BA)  <reserved-1D4BA>
1D4BB         ; restricted ; technical symbol (math)                                  #      (𝒻)  MATHEMATICAL SCRIPT SMALL F
1D4BC         ; restricted ; technical symbol (math)                                  #      (U+1D4BC)  <reserved-1D4BC>
1D4BD..1D4C3  ; restricted ; technical symbol (math)                                  #  [7] (𝒽..𝓃)  MATHEMATICAL SCRIPT SMALL H..MATHEMATICAL SCRIPT SMALL N
1D4C4         ; restricted ; technical symbol (math)                                  #      (U+1D4C4)  <reserved-1D4C4>
1D4C5..1D505  ; restricted ; technical symbol (math)                                  # [65] (𝓅..𝔅)  MATHEMATICAL SCRIPT SMALL P..MATHEMATICAL FRAKTUR CAPITAL B
1D506         ; restricted ; technical symbol (math)                                  #      (U+1D506)  <reserved-1D506>
1D507..1D50A  ; restricted ; technical symbol (math)                                  #  [4] (𝔇..𝔊)  MATHEMATICAL FRAKTUR CAPITAL D..MATHEMATICAL FRAKTUR CAPITAL G
1D50B..1D50C  ; restricted ; technical symbol (math)                                  #  [2] (U+1D50B..U+1D50C)  <reserved-1D50B>..<reserved-1D50C>
1D50D..1D514  ; restricted ; technical symbol (math)                                  #  [8] (𝔍..𝔔)  MATHEMATICAL FRAKTUR CAPITAL J..MATHEMATICAL FRAKTUR CAPITAL Q
1D515         ; restricted ; technical symbol (math)                                  #      (U+1D515)  <reserved-1D515>
1D516..1D51C  ; restricted ; technical symbol (math)                                  #  [7] (𝔖..𝔜)  MATHEMATICAL FRAKTUR CAPITAL S..MATHEMATICAL FRAKTUR CAPITAL Y
1D51D         ; restricted ; technical symbol (math)                                  #      (U+1D51D)  <reserved-1D51D>
1D51E..1D539  ; restricted ; technical symbol (math)                                  # [28] (𝔞..𝔹)  MATHEMATICAL FRAKTUR SMALL A..MATHEMATICAL DOUBLE-STRUCK CAPITAL B
1D53A         ; restricted ; technical symbol (math)                                  #      (U+1D53A)  <reserved-1D53A>
1D53B..1D53E  ; restricted ; technical symbol (math)                                  #  [4] (𝔻..𝔾)  MATHEMATICAL DOUBLE-STRUCK CAPITAL D..MATHEMATICAL DOUBLE-STRUCK CAPITAL G
1D53F         ; restricted ; technical symbol (math)                                  #      (U+1D53F)  <reserved-1D53F>
1D540..1D544  ; restricted ; technical symbol (math)                                  #  [5] (𝕀..𝕄)  MATHEMATICAL DOUBLE-STRUCK CAPITAL I..MATHEMATICAL DOUBLE-STRUCK CAPITAL M
1D545         ; restricted ; technical symbol (math)                                  #      (U+1D545)  <reserved-1D545>
1D546         ; restricted ; technical symbol (math)                                  #      (𝕆)  MATHEMATICAL DOUBLE-STRUCK CAPITAL O
1D547..1D549  ; restricted ; technical symbol (math)                                  #  [3] (U+1D547..U+1D549)  <reserved-1D547>..<reserved-1D549>
1D54A..1D550  ; restricted ; technical symbol (math)                                  #  [7] (𝕊..𝕐)  MATHEMATICAL DOUBLE-STRUCK CAPITAL S..MATHEMATICAL DOUBLE-STRUCK CAPITAL Y
1D551         ; restricted ; technical symbol (math)                                  #      (U+1D551)  <reserved-1D551>
1D552..1D6A5  ; restricted ; technical symbol (math)                                  # [340] (𝕒..𝚥)  MATHEMATICAL DOUBLE-STRUCK SMALL A..MATHEMATICAL ITALIC SMALL DOTLESS J
1D6A6..1D6A7  ; restricted ; technical symbol (math)                                  #  [2] (U+1D6A6..U+1D6A7)  <reserved-1D6A6>..<reserved-1D6A7>
1D6A8..1D7CB  ; restricted ; technical symbol (math)                                  # [292] (𝚨..𝟋)  MATHEMATICAL BOLD CAPITAL ALPHA..MATHEMATICAL BOLD SMALL DIGAMMA
1D7CC..1D7CD  ; restricted ; technical symbol (math)                                  #  [2] (U+1D7CC..U+1D7CD)  <reserved-1D7CC>..<reserved-1D7CD>
1D7CE..1D7FF  ; restricted ; technical symbol (math)                                  # [50] (𝟎..𝟿)  MATHEMATICAL BOLD DIGIT ZERO..MATHEMATICAL MONOSPACE DIGIT NINE
20000..2070D  ; restricted ; ~IICore                                                  # [1806] (𠀀..𠜍)  CJK UNIFIED IDEOGRAPH-20000..CJK UNIFIED IDEOGRAPH-2070D
2070F..20730  ; restricted ; ~IICore                                                  # [34] (𠜏..𠜰)  CJK UNIFIED IDEOGRAPH-2070F..CJK UNIFIED IDEOGRAPH-20730
20732..20778  ; restricted ; ~IICore                                                  # [71] (𠜲..𠝸)  CJK UNIFIED IDEOGRAPH-20732..CJK UNIFIED IDEOGRAPH-20778
2077A..20C52  ; restricted ; ~IICore                                                  # [1241] (𠝺..𠱒)  CJK UNIFIED IDEOGRAPH-2077A..CJK UNIFIED IDEOGRAPH-20C52
20C54..20C77  ; restricted ; ~IICore                                                  # [36] (𠱔..𠱷)  CJK UNIFIED IDEOGRAPH-20C54..CJK UNIFIED IDEOGRAPH-20C77
20C79..20C95  ; restricted ; ~IICore                                                  # [29] (𠱹..𠲕)  CJK UNIFIED IDEOGRAPH-20C79..CJK UNIFIED IDEOGRAPH-20C95
20C97..20CCE  ; restricted ; ~IICore                                                  # [56] (𠲗..𠳎)  CJK UNIFIED IDEOGRAPH-20C97..CJK UNIFIED IDEOGRAPH-20CCE
20CD0..20CD4  ; restricted ; ~IICore                                                  #  [5] (𠳐..𠳔)  CJK UNIFIED IDEOGRAPH-20CD0..CJK UNIFIED IDEOGRAPH-20CD4
20CD6..20D14  ; restricted ; ~IICore                                                  # [63] (𠳖..𠴔)  CJK UNIFIED IDEOGRAPH-20CD6..CJK UNIFIED IDEOGRAPH-20D14
20D16..20D7B  ; restricted ; ~IICore                                                  # [102] (𠴖..𠵻)  CJK UNIFIED IDEOGRAPH-20D16..CJK UNIFIED IDEOGRAPH-20D7B
20D7D..20D7E  ; restricted ; ~IICore                                                  #  [2] (𠵽..𠵾)  CJK UNIFIED IDEOGRAPH-20D7D..CJK UNIFIED IDEOGRAPH-20D7E
20D80..20E0D  ; restricted ; ~IICore                                                  # [142] (𠶀..𠸍)  CJK UNIFIED IDEOGRAPH-20D80..CJK UNIFIED IDEOGRAPH-20E0D
20E10..20E76  ; restricted ; ~IICore                                                  # [103] (𠸐..𠹶)  CJK UNIFIED IDEOGRAPH-20E10..CJK UNIFIED IDEOGRAPH-20E76
20E78..20E9C  ; restricted ; ~IICore                                                  # [37] (𠹸..𠺜)  CJK UNIFIED IDEOGRAPH-20E78..CJK UNIFIED IDEOGRAPH-20E9C
20E9E..20EA1  ; restricted ; ~IICore                                                  #  [4] (𠺞..𠺡)  CJK UNIFIED IDEOGRAPH-20E9E..CJK UNIFIED IDEOGRAPH-20EA1
20EA3..20ED6  ; restricted ; ~IICore                                                  # [52] (𠺣..𠻖)  CJK UNIFIED IDEOGRAPH-20EA3..CJK UNIFIED IDEOGRAPH-20ED6
20ED8..20EF8  ; restricted ; ~IICore                                                  # [33] (𠻘..𠻸)  CJK UNIFIED IDEOGRAPH-20ED8..CJK UNIFIED IDEOGRAPH-20EF8
20EFB..20F2C  ; restricted ; ~IICore                                                  # [50] (𠻻..𠼬)  CJK UNIFIED IDEOGRAPH-20EFB..CJK UNIFIED IDEOGRAPH-20F2C
20F2F..20F4B  ; restricted ; ~IICore                                                  # [29] (𠼯..𠽋)  CJK UNIFIED IDEOGRAPH-20F2F..CJK UNIFIED IDEOGRAPH-20F4B
20F4D..20FB3  ; restricted ; ~IICore                                                  # [103] (𠽍..𠾳)  CJK UNIFIED IDEOGRAPH-20F4D..CJK UNIFIED IDEOGRAPH-20FB3
20FB5..20FBB  ; restricted ; ~IICore                                                  #  [7] (𠾵..𠾻)  CJK UNIFIED IDEOGRAPH-20FB5..CJK UNIFIED IDEOGRAPH-20FBB
20FBD..20FE9  ; restricted ; ~IICore                                                  # [45] (𠾽..𠿩)  CJK UNIFIED IDEOGRAPH-20FBD..CJK UNIFIED IDEOGRAPH-20FE9
20FEB..2105B  ; restricted ; ~IICore                                                  # [113] (𠿫..𡁛)  CJK UNIFIED IDEOGRAPH-20FEB..CJK UNIFIED IDEOGRAPH-2105B
2105D..2106E  ; restricted ; ~IICore                                                  # [18] (𡁝..𡁮)  CJK UNIFIED IDEOGRAPH-2105D..CJK UNIFIED IDEOGRAPH-2106E
21070..21074  ; restricted ; ~IICore                                                  #  [5] (𡁰..𡁴)  CJK UNIFIED IDEOGRAPH-21070..CJK UNIFIED IDEOGRAPH-21074
21077..2107A  ; restricted ; ~IICore                                                  #  [4] (𡁷..𡁺)  CJK UNIFIED IDEOGRAPH-21077..CJK UNIFIED IDEOGRAPH-2107A
2107C..210C0  ; restricted ; ~IICore                                                  # [69] (𡁼..𡃀)  CJK UNIFIED IDEOGRAPH-2107C..CJK UNIFIED IDEOGRAPH-210C0
210C2..210C8  ; restricted ; ~IICore                                                  #  [7] (𡃂..𡃈)  CJK UNIFIED IDEOGRAPH-210C2..CJK UNIFIED IDEOGRAPH-210C8
210CA..211D8  ; restricted ; ~IICore                                                  # [271] (𡃊..𡇘)  CJK UNIFIED IDEOGRAPH-210CA..CJK UNIFIED IDEOGRAPH-211D8
211DA..220C6  ; restricted ; ~IICore                                                  # [3821] (𡇚..𢃆)  CJK UNIFIED IDEOGRAPH-211DA..CJK UNIFIED IDEOGRAPH-220C6
220C8..227B4  ; restricted ; ~IICore                                                  # [1773] (𢃈..𢞴)  CJK UNIFIED IDEOGRAPH-220C8..CJK UNIFIED IDEOGRAPH-227B4
227B6..22AD4  ; restricted ; ~IICore                                                  # [799] (𢞶..𢫔)  CJK UNIFIED IDEOGRAPH-227B6..CJK UNIFIED IDEOGRAPH-22AD4
22AD6..22B42  ; restricted ; ~IICore                                                  # [109] (𢫖..𢭂)  CJK UNIFIED IDEOGRAPH-22AD6..CJK UNIFIED IDEOGRAPH-22B42
22B44..22BC9  ; restricted ; ~IICore                                                  # [134] (𢭄..𢯉)  CJK UNIFIED IDEOGRAPH-22B44..CJK UNIFIED IDEOGRAPH-22BC9
22BCB..22C50  ; restricted ; ~IICore                                                  # [134] (𢯋..𢱐)  CJK UNIFIED IDEOGRAPH-22BCB..CJK UNIFIED IDEOGRAPH-22C50
22C52..22C54  ; restricted ; ~IICore                                                  #  [3] (𢱒..𢱔)  CJK UNIFIED IDEOGRAPH-22C52..CJK UNIFIED IDEOGRAPH-22C54
22C56..22CC1  ; restricted ; ~IICore                                                  # [108] (𢱖..𢳁)  CJK UNIFIED IDEOGRAPH-22C56..CJK UNIFIED IDEOGRAPH-22CC1
22CC3..22D07  ; restricted ; ~IICore                                                  # [69] (𢳃..𢴇)  CJK UNIFIED IDEOGRAPH-22CC3..CJK UNIFIED IDEOGRAPH-22D07
22D09..22D4B  ; restricted ; ~IICore                                                  # [67] (𢴉..𢵋)  CJK UNIFIED IDEOGRAPH-22D09..CJK UNIFIED IDEOGRAPH-22D4B
22D4D..22D66  ; restricted ; ~IICore                                                  # [26] (𢵍..𢵦)  CJK UNIFIED IDEOGRAPH-22D4D..CJK UNIFIED IDEOGRAPH-22D66
22D68..22EB2  ; restricted ; ~IICore                                                  # [331] (𢵨..𢺲)  CJK UNIFIED IDEOGRAPH-22D68..CJK UNIFIED IDEOGRAPH-22EB2
22EB4..23CB6  ; restricted ; ~IICore                                                  # [3587] (𢺴..𣲶)  CJK UNIFIED IDEOGRAPH-22EB4..CJK UNIFIED IDEOGRAPH-23CB6
23CB8..244D2  ; restricted ; ~IICore                                                  # [2075] (𣲸..𤓒)  CJK UNIFIED IDEOGRAPH-23CB8..CJK UNIFIED IDEOGRAPH-244D2
244D4..24DB7  ; restricted ; ~IICore                                                  # [2276] (𤓔..𤶷)  CJK UNIFIED IDEOGRAPH-244D4..CJK UNIFIED IDEOGRAPH-24DB7
24DB9..24DE9  ; restricted ; ~IICore                                                  # [49] (𤶹..𤷩)  CJK UNIFIED IDEOGRAPH-24DB9..CJK UNIFIED IDEOGRAPH-24DE9
24DEB..2512A  ; restricted ; ~IICore                                                  # [832] (𤷫..𥄪)  CJK UNIFIED IDEOGRAPH-24DEB..CJK UNIFIED IDEOGRAPH-2512A
2512C..26257  ; restricted ; ~IICore                                                  # [4396] (𥄬..𦉗)  CJK UNIFIED IDEOGRAPH-2512C..CJK UNIFIED IDEOGRAPH-26257
26259..267CB  ; restricted ; ~IICore                                                  # [1395] (𦉙..𦟋)  CJK UNIFIED IDEOGRAPH-26259..CJK UNIFIED IDEOGRAPH-267CB
267CD..269F1  ; restricted ; ~IICore                                                  # [549] (𦟍..𦧱)  CJK UNIFIED IDEOGRAPH-267CD..CJK UNIFIED IDEOGRAPH-269F1
269F3..269F9  ; restricted ; ~IICore                                                  #  [7] (𦧳..𦧹)  CJK UNIFIED IDEOGRAPH-269F3..CJK UNIFIED IDEOGRAPH-269F9
269FB..27A3D  ; restricted ; ~IICore                                                  # [4163] (𦧻..𧨽)  CJK UNIFIED IDEOGRAPH-269FB..CJK UNIFIED IDEOGRAPH-27A3D
27A3F..2815C  ; restricted ; ~IICore                                                  # [1822] (𧨿..𨅜)  CJK UNIFIED IDEOGRAPH-27A3F..CJK UNIFIED IDEOGRAPH-2815C
2815E..28206  ; restricted ; ~IICore                                                  # [169] (𨅞..𨈆)  CJK UNIFIED IDEOGRAPH-2815E..CJK UNIFIED IDEOGRAPH-28206
28208..282E1  ; restricted ; ~IICore                                                  # [218] (𨈈..𨋡)  CJK UNIFIED IDEOGRAPH-28208..CJK UNIFIED IDEOGRAPH-282E1
282E3..28CC9  ; restricted ; ~IICore                                                  # [2535] (𨋣..𨳉)  CJK UNIFIED IDEOGRAPH-282E3..CJK UNIFIED IDEOGRAPH-28CC9
28CCB..28CCC  ; restricted ; ~IICore                                                  #  [2] (𨳋..𨳌)  CJK UNIFIED IDEOGRAPH-28CCB..CJK UNIFIED IDEOGRAPH-28CCC
28CCE..28CD1  ; restricted ; ~IICore                                                  #  [4] (𨳎..𨳑)  CJK UNIFIED IDEOGRAPH-28CCE..CJK UNIFIED IDEOGRAPH-28CD1
28CD3..29D97  ; restricted ; ~IICore                                                  # [4293] (𨳓..𩶗)  CJK UNIFIED IDEOGRAPH-28CD3..CJK UNIFIED IDEOGRAPH-29D97
29D99..2A6D6  ; restricted ; ~IICore                                                  # [2366] (𩶙..𪛖)  CJK UNIFIED IDEOGRAPH-29D99..CJK UNIFIED IDEOGRAPH-2A6D6
E0001         ; restricted ; default-ignorable                                        #      (U+E0001)  LANGUAGE TAG
E0020..E007F  ; restricted ; default-ignorable                                        # [96] (U+E0020..U+E007F)  TAG SPACE..CANCEL TAG
E0100..E01EF  ; restricted ; default-ignorable                                        # [240] (U+E0100..U+E01EF)  VARIATION SELECTOR-17..VARIATION SELECTOR-256

# Total code points: 60431

# Characters added

002D          ; addition #      (-)  HYPHEN-MINUS
30FB          ; addition #      (・)  KATAKANA MIDDLE DOT

# Total code points: 2
