#Doc №	Subject	Source	Date
L2/07-162	Proposal to Change Math Property Assignments for Some Characters	Murray Sargent	2007-05-10
L2/07-163	Comments on Public Review Issues (Jan 31, 2007 - May 14, 2007)	Rick McGowan	2007-05-14
L2/07-164	Comment on PRI 98: IVD Adobe-Japan1	Toshiya Suzuki	2007-05-11
L2/07-165	Recently Closed Action Items (since 2007-02-06)	Rick McGowan	2007-05-11
L2/07-166	Disposition of comments on SC2 N 3909 (FPDAM text for Amendment 3 to ISO/IEC 10646:2003) (WG2 N3260)	Michel Suignard	2007-05-11
L2/07-167	Disposition of comments on SC2 N 3914 (PDAM text for Amendment 4 to ISO/IEC 10646:2003) (WG2 N3261)	Michel Suignard	2007-05-11
L2/07-168	About the code table format (WG2 N3214)	V S Umamaheswaran	2007-05-11
L2/07-169	L2/UTC Open Action Items, prior to UTC #111 / L2 #208	Rick McGowan	2007-05-11
L2/07-170	Mathematical Arrows in FPDAM3 (WG2 N3259)	Asmus Freytag, et al	2007-05-11
L2/07-171	Proposal to encode Mahjong, Domino, and Draughts symbols (WG2 N3171, replaces L2/06-306)	Michael Everson, et al	2007-05-11
L2/07-172	Constraint on Ideographic Variation Selector Sequences	Peter Constable	2007-05-12
L2/07-173	PR 96: Backgound information for Malayalam	Cibu Johny	2007-05-14
L2/07-174	The Case Folding Solution for the Arabic Script	Attash Durrani	2007-05-14
L2/07-175	A Proposal from Tamil Nadu Government for Tamil Unicode	M. Ponnavaikko	2007-05-15
L2/07-176	Five-year maintenance review of INCITS/L2 standards (15MB)	Eric Muller	2007-05-15
L2/07-177	Nomination of Mr. Tatsuo Kobayashi as the Chairman of SC 2 for the Second Term	SC2	2007-05-16
L2/07-178	Project Subdivision Proposal for ISO/IEC 10646: 2003/Amendment 5 [WG2 N3262]	SC2	2007-05-16
L2/07-179	Information technology - Universal Multiple-Octet Coded Character Set (UCS - AMENDMENT 5 (additional files are HERE)	WG2	2007-05-16
L2/07-180	Canadian Contribution to the 25-28 September 2007 JTC 1/SC 22 Plenary on the Transfer of ISO/IEC TR 14652	Canada N.B.	2007-05-16
L2/07-181	CT22 Letter Ballot	CT22	2007-05-16
L2/07-182	Explanatory Report: ISO/IEC FDIS 14651	SC2	2007-05-16
L2/07-183	ISO/IEC FDIS 14651:2007, Information technology - International string ordering and comparison - Method for comparing character strings and description of the common template tailorable ordering (additional files are HERE)	SC2	2007-05-16
L2/07-184	Unicode Format for Network Interchange (draft-klensin-net-utf8-03.txt)	John Klensin	2007-05-17
L2/07-185	Re: IDNAbis compatibility	Mark Davis	2007-05-23
L2/07-186	Re: Comments on Unicode Format for Network Interchange	Frank Ellermann	2007-05-23
L2/07-187	2007 Systematic Review of ISO Standards (1)	Eric Muller	2007-05-23
L2/07-188	US Delegation to IRG meeting #28	Eric Muller	2007-05-23
L2/07-189	ANSI Delegate Accreditation Form For the upcoming meeting of: ISO/IEC JTC 1: SC 2 Meeting #15	Eric Muller	2007-05-23
L2/07-190	ANSI Delegate Accreditation Form For the upcoming meeting of: ISO/IEC JTC 1: SC 2/WG 2 Meeting #51	Eric Muller	2007-05-23
L2/07-191	ANSI Delegate Accreditation Form For the upcoming meeting of: ISO/IEC JTC 1: SC 2/OWG Sort Meeting #6	Eric Muller	2007-05-23
L2/07-192	Proposal to Encode the Ganda Currency Mark for Bengali (revised)	Anshuman Pandey	2007-10-11
L2/07-193	Review of Tamil Unicode	M. Ponnavaikko, et al	2007-05-23
L2/07-194	PR #96 Comment	Daniel Yacob	2007-05-23
L2/07-195	WG2, 2nd Call Meeting # 51 from 2007-09-17/21 to be hosted by the Chinese National Body (CESI) in Hangzhou, China (WG2 N3271R)	Mike Ksar	2007-07-10
L2/07-196	Proposal to encode four characters for Oriya and Malayalam (WG2 N3272)	Michael Everson	2007-05-25
L2/07-197	Preliminary proposal for encoding the Imperial Aramaic script (Revision 2)	Michael Everson	2007-07-25
L2/07-198	Representation of Greek mute iota (response to L2/07-068)	John Hudson	2007-06-01
L2/07-199	Proposal to Encode the Kaithi Script in Plane 1 (replaces L2/05-343)	Anshuman Pandey	2007-06-06
L2/07-200	Request for Contributions Regarding a Proposed New Lifetime Achievement Award	INCITS	2007-06-07
L2/07-201	Liaison statement to IETF	UTC / Lisa Moore, et al	2007-06-08
L2/07-202	Script Consistency Issue for Compatibility Greek Accents	Ken Whistler	2007-06-26
L2/07-203	2008 Fees for Participation on INCITS Technical Committees and Task Groups	INCITS	2007-06-26
L2/07-204	2007 Systematic Review of ISO Standards (2)	Eric Muller	2007-06-29
L2/07-205	Proposal for encoding additional Myanmar characters for Shan (2nd revision, WG2 N3277R2)	Michael Everson	2007-08-28
L2/07-206	Proposal to add two numbers for the Phoenician script (WG2 N3284)	Michael Everson	2007-07-25
L2/07-207	Proposal for encoding the Inscriptional Parthian, Inscriptional Pahlavi, and Psalter Pahlavi scripts (revision, WG2 N3286R)	Michael Everson, Roozbeh Pournader	2007-07-25
L2/07-208	Proposal to replace 11 KP source references to existing ISO/IEC 10646:2003 (WG2 N3285)	DPRK N.B.	2007-07-18
L2/07-209	UTR 14 and U+202F NARROW NO-BREAK SPACE (revised)	Ken Whistler	2007-07-18
L2/07-210	ISO/IEC 10646: 2003/FPDAM 4, Information technology - Universal Multiple-Octet Coded Character Set (UCS) - AMENDMENT 4: Lanna, Cham, Game Tiles, and other characters [SC2 N3943] (additional files are HERE)	Michel Suignard	2007-07-23
L2/07-211	Notification of SC 2 Approval of SC 2 N 3937, Project Subdivision Proposal for ISO/IEC 10646: 2003/Amendment 5	SC2	2007-07-23
L2/07-212	Draft Agenda for sixth meeting of ISO/IEC JTC 1/SC 2/OWG-SORT, Hangzhou, China, to be held during the week of 17 September 2007	SC2	2007-07-23
L2/07-213	ISO/IEC JTC1/SC2/WG2/IRG Meeting # 29, San Jose, CA - USA Nov 12-15, 2007 -- Invitation and Registration form	IRG	2007-07-23
L2/07-214	Invitation to attend ISO/IEC JTC1/SC2/WG2/IRG Meeting #29 (map and directions are HERE)	Unicode, Inc.	2007-07-23
L2/07-215	Proposal to encode two Bopomofo characters in UCS	Source	2007-07-23
L2/07-216	Proposing to Supplement with the Special Character for Uyghur Orkhun to ISO/IEC 10646 (WG2 N3258; replaces WG2 N3164)	China N.B.	2007-07-23
L2/07-217	Proposal for a new edition of ISO/IEC 10646 (WG2 N3274)	Michel Suignard	2007-07-23
L2/07-218	Proposal for a new edition of ISO/IEC 10646 - draft text with markup (WG2 N3275)	Michel Suignard	2007-07-23
L2/07-219	Proposal for a new edition of ISO/IEC 10646 - draft text without markup (WG2 N3276)	Michel Suignard	2007-07-23
L2/07-220	2007 Systematic Review of ISO Standards (3)	Eric Muller	2007-07-23
L2/07-221	Shaping behavior of Arabic characters based on Farsi Yeh	Bob Hallissy	2007-07-23
L2/07-222	1st Call for IRG#29 meeting to be held in San Jose, California, U.S.A, 2007-11-12~2007-11-16	Lu Qin	2007-07-23
L2/07-223	Report of the ISO 15924 Registration Authority	Unicode, Inc.	2007-07-26
L2/07-224	UTC #112 Agenda	Lisa Moore	2007-08-08
L2/07-225	UTC #112 Minutes	Lisa Moore	2007-08-21
L2/07-226	UTC #112 Motions	Lisa Moore	2007-08-21
L2/07-227	L2 #209 Agenda	Eric Muller	2007-08-08
L2/07-228	L2 #209 Minutes	Eric Muller	2007-08-11
L2/07-229	Tangut Proposal Code Chart Update (see also proposal L2/07-143)	SEI / Richard Cook	2007-07-24
L2/07-230	Revised proposal to encode characters for Vedic Sanskrit	SEI / Everson, Scharf, et al	2007-07-26
L2/07-231	Preliminary proposal to add the Samaritan alphabet to the BMP (WG2 N3291)	SEI / Everson & Shoulson)	2007-07-26
L2/07-232	Preliminary proposal for encoding the Javanese script	Michael Everson	2007-07-31
L2/07-233	Preliminary proposal for encoding the Batak script	Michael Everson	2007-07-26
L2/07-234	Preliminary proposal to encode the Book Pahlavi script	Michael Everson	2007-07-26
L2/07-235	Character and line-breaking properties for Rumi Numeral Symbols	Azzeddine Lazrek	2007-07-30
L2/07-236	Comments in support of encoding Imperial Aramaic	Deborah Anderson	2007-07-30
L2/07-237	Comment on L2/07-232 - Suggestion to encode Javanese in the SMP	Karl Pentzlin	2007-07-31
L2/07-238	Towards an Encoding for North Indic Number Forms in the UCS	Anshuman Pandey	2007-07-31
L2/07-239	Request to Remove Bamum from Amendment 5 (WG2 N3298)	Deborah Anderson	2007-07-31
L2/07-240	Proposal to encode South Arabian Script (WG2 N3309)	Sultan Maktari, Kamal Mansour	2007-07-31
L2/07-241	Undo mirroring of quote marks	Jonathan Kew	2007-07-31
L2/07-242	Proposal to encode Malayalam Chillu YA in the UCS	Cibu Johny	2007-07-31
L2/07-243	Liaison Report from Script Encoding Initiative, UC Berkeley	Deborah Anderson	2007-08-01
L2/07-244	Request for Glyph Change in CJK C PDAM5 (WG2 N3281)	IRG / Lu Qin	2007-08-01
L2/07-245	Request for Removal of Characters in CJK C PDAM5 (WG2 N3280)	IRG / Lu Qin	2007-08-01
L2/07-246	Resolutions of IRG Meeting #28	IRG / Lu Qin	2007-08-01
L2/07-247	A Proposal to add new Hangul Jamo extended characters to BMP (WG2 N3257)	Korea N.B.	2007-08-01
L2/07-248	Re L2/07-237 Comment on L2/07-232 Suggestion to encode Javanese in the SMP	Deborah Anderson	2007-08-01
L2/07-249	Text of Public Review Issue #107	Editorial Committee	2007-08-01
L2/07-250	Comments on Public Review Issues (May 15, 2007 - August 1, 2007)	Rick McGowan	2007-08-02
L2/07-251	Recently Closed Action Items (since 2007-05-11)	Rick McGowan	2007-08-01
L2/07-252	L2/UTC Open Action Items, prior to UTC #112 / L2 #209	Rick McGowan	2007-08-01
L2/07-253	Proposed Update UAX #14 Line Breaking Properties (tr14-21 draft; HTML)	Andy Heninger	2007-08-02
L2/07-254	Unicode for Vedic Sanskrit (letter to Mark Davis)	E K Bharat Bhushan	2007-08-02
L2/07-255	Remarks on the use of ZWJ & ZWNJ in the Brahmi and Perso-Arabic Families	Swaran Lata	2007-08-03
L2/07-256	Views of Manipuri University on Meitei Script proposal	L S Singh, S I Singh	2007-08-03
L2/07-257	Working Draft Proposal for Encoding Emoji Symbols (Associated tables in ZIP file)	Kat Momoi, Mark Davis, Markus Scherer	2007-08-03
L2/07-258	Middle Dots and Don’ts	Ken Whistler	2007-08-05
L2/07-259	Japanese TV Symbols	Michel Suignard	2007-08-06
L2/07-260	Non-blank spaces	Asmus Freytag	2007-08-07
L2/07-261	Proposal to Change Math Property Assignments for Some Characters	Murray Sargent	2007-08-07
L2/07-262	Outline of the development of WG2/n3290 = L2/07-230	Peter Scharf	2007-08-07
L2/07-263	Input on Greek Mute Iota	Deborah Anderson	2007-08-08
L2/07-264	Shaping behavior of Burushaski characters and other Arabic additions	Deborah Anderson	2007-08-08
L2/07-265	CLDR 1.5 Press Release	Mark Davis	2007-08-08
L2/07-266	Extended Grapheme Cluster Rules	Mark Davis	2007-08-08
L2/07-267	Proposed Modifications to the SC 2 Programme of Work	SC2 Sec’ty	2007-08-08
L2/07-268	Unconfirmed minutes of WG 2 meeting 50, Frankfurt-am-Main, Germany; 2007-04-24/27	V S Umamaheswaran	2007-08-08
L2/07-269	WG2: Action Items For Review at Meeting M50	V S Umamaheswaran	2007-08-08
L2/07-270	Netherlands National Body Report to the September 2007 S C 22 Plenary	INCITS	2007-08-08
L2/07-271	Comparison of proposed characters in Lata 2006 (L2/06-185) with Scharf and Everson WG2/n3290 (L2/07-230).	Peter Scharf	2007-08-08
L2/07-272	Report of the South Asia subcommittee	Eric Muller	2007-08-09
L2/07-273	Bidi Mirroring of Quotation Characters	Mark Davis	2007-08-09
L2/07-274	Symbols draft resolution (revised)	Mark Davis	2007-08-09
L2/07-275	US Ballot comments on FPDAM 4	Michel Suignard	2007-08-10
L2/07-276	US Ballot comments on PDAM 5	Michel Suignard	2007-08-10
L2/07-277	Summary of Scripts Subcommittee Discussions 8/7/2007	Rick McGowan	2007-08-09
L2/07-278	Arabic Web site with broken quotation marks	Peter Constable	2007-08-10
L2/07-279	Joiners (ZWJ/ZWNJ) with semantic content for words in Indian subcontinent languages	N. Ganesan	2007-08-13
L2/07-280	Approved Charter for the INCITS Study Group on Security Best Practices	Jennifer Garner	2007-08-16
L2/07-281	Draft Agenda - Formation Meeting, INCITS Study Group on Security Best Practices, Meeting #1	Jennifer Garner	2007-08-16
L2/07-282	Notification of Establishment, Call for Participants and Meeting Announcement - INCITS Study Group on Security Best Practices - September 19, 2007 Formation Meeting - Scottsdale, AZ	Jennifer Garner	2007-08-16
L2/07-283	Proposal to add three characters for Malayalam to the BMP	Michael Everson	2007-08-16
L2/07-284	Result of UTC Repertoire Review for FPDAM4 of ISO/IEC 10646:2003 and future additions	UTC / Michael Everson	2007-09-10
L2/07-285	Result of UTC Repertoire Review for PDAM5 of ISO/IEC 10646:2003 and future additions	UTC / Michael Everson	2007-09-10
L2/07-286	Result of UTC Repertoire Review for future additions (9.7MB)	UTC / Michael Everson	2007-09-10
L2/07-287	Towards a proposal to encode the Old South Arabian script in the SMP	Michael Everson	2007-08-29
L2/07-288	Proposal for encoding the Imperial Aramaic script (replaces L2/07-197)	SEI / Everson	2007-08-25
L2/07-289	Tangut Background	Richard Cook	2007-08-31
L2/07-290	Proposed Draft Unicode Technical Report #43, A User’s Guide to the UniTangut Database [2nd revision; replaces L2/07-158]	Richard Cook	2007-09-24
L2/07-291	UniTangut.txt draft data file, zip format (text format HERE, 4.3MB)	Richard Cook	2007-09-24
L2/07-292	Towards a default deterministic ordering for Egyptian Hieroglyphs	Michael Everson	2007-09-10
L2/07-293	Proposal for encoding Nüshu in the SMP (replaced by L2/07-371)	China N.B.	2007-08-29
L2/07-294	Fraser’s Lisu orthography: Research notes toward a Unicode encoding (WG2 N3326)	Richard Cook	2007-09-10
L2/07-295	Proposal for encoding the Javanese script in the UCS (WG2 N3319R)	SEI / Michael Everson	2007-09-13
L2/07-296	(void)		1972-01-01
L2/07-297	Towards an encoding of the Fraser script in the UCS	Michael Everson	2007-09-10
L2/07-298	Javanese government support for encoding the Javanese script	Michael Everson	2007-09-13
L2/07-299	Preliminary proposal for encoding the Northeastern Yunnan Simple Miao script(WG2 N3335) [see also L2/97-104]	China N.B.	2007-09-15
L2/07-300	Comments on Nüshu Proposal by the Chinese NB N3287 (WG2 N3322)	Deborah Anderson	2007-09-18
L2/07-301	Response to UC Berkeley’s proposals on Tangut (WG2 N3338)	China N.B.	2007-09-18
L2/07-302	Expert feedback on Chinese NB input on Tangut Encoding Proposal (WG2 N3343; response to WG2 N3338)	Richard Cook	2007-09-19
L2/07-303	Reply to WG2N3322 - UC Berkeley’s comments on Nüshu (WG2 N3337)	China N.B.	2007-09-19
L2/07-304	Comments on the Avestan Separation Point (WG2 N3336)	Deborah Anderson	2007-09-19
L2/07-305	Proposing to Supplement with the Special Character for Uyghur Orkhun to ISO/IEC 10646 (WG2 N3299; replaces WG2 N3258)	China N.B.	2007-09-19
L2/07-306	Letter in Support of N3237 Egyptian Hieroglyphs Proposal (WG2 N3310)	Ola El Aguizy	2007-09-19
L2/07-307	Comments on Lanna encoding in FPDAM4 (WG2 N3313)	China N.B.	2007-09-19
L2/07-308	Proposed additions to ISO/IEC 10646:2003	US N.B.	2007-09-19
L2/07-309	Draft disposition of comments on SC2 N 3943 (FPDAM text for Amendment 4 to ISO/IEC 10646:2003) (WG2 N3324)	Michel Suignard	2007-09-19
L2/07-310	Draft disposition of comments on SC2 N 3940 (PDAM text for Amendment 5 to ISO/IEC 10646:2003) (WG2 N3325)	Michel Suignard	2007-09-19
L2/07-311	Comments on Meitei Dandas (WG2 N3327)	Deborah Anderson	2007-09-19
L2/07-312	Summary of Voting on ISO/IEC JTC 1/SC 2 N 3943 : ISO/IEC 10646: 2003/FPDAM 4 (WG2 N3330)	SC2 Secty	2007-09-19
L2/07-313	Comments accompanying the US positive vote on FPDAM4 to ISO/IEC 10646:2003 (WG2 N3330A)	INCITS / L2	2007-09-19
L2/07-314	Summary of Voting on ISO/IEC JTC 1/SC 2 N 3940 : ISO/IEC 10646: 2003/PDAM 5 (WG2 N3331)	SC2 Secty	2007-09-19
L2/07-315	Proposal for encoding Nüshu in the SMP of the UCS (Powerpoint) (WG2 N3340)	China N.B.	2007-09-24
L2/07-316	Response to N3313 (Lanna) (WG2 N3342)	Martin Hosken	2007-09-24
L2/07-317	Disposition of comments on SC2 N 3943 (FPDAM text for Amendment 4 to ISO/IEC 10646:2003) (WG2 N3344)	Michel Suignard	2007-09-24
L2/07-318	Disposition of comments on SC2 N 3940 (PDAM text for Amendment 5 to ISO/IEC 10646:2003) (WG2 N3345R)	Source	2007-10-02
L2/07-319	Ad hoc report on Lanna (WG2 N3346)	WG2	2007-09-24
L2/07-320	Proposal to Encode WORD SEPARATOR MIDDLE DOT (WG2 N3347)	US N.B.	2007-09-24
L2/07-321	Summary of repertoire for FDAM4 of ISO/IEC 10646:2003 and future amendments (WG2 N3348)	Michael Everson	2007-09-24
L2/07-322	Summary of repertoire for FPDAM 5 of ISO/IEC 10646:2003 and future amendments (WG2 N3349)	Michael Everson	2007-09-24
L2/07-323	Resolutions of WG 2 meeting 51 (WG2 N3354R)	WG2	2007-10-01
L2/07-324	Summary of repertoire for PDAM6 of ISO/IEC 10646:2003 and future amendments (WG2 N3356)	Michael Everson	2007-09-24
L2/07-325	Proposal for encoding the Old Turkic script in the SMP (revised; WG2 N3357R)	China, Ireland, UK, SEI	2008-01-01
L2/07-326	SC2/WG2 Proposed Modification to Program of Work (amd6) (WG2 N3358)	WG2	2007-09-24
L2/07-327	Changing K5 source reference format from K5-dddd to K5-hhhh (WG2 N3359)	Rep. of Korea N.B.	2007-09-24
L2/07-328	SC2/WG2 Proposed Modification to Program of Work (10646 new ed) (WG2 N3360R)	WG2	2007-10-16
L2/07-329	Unicode Liaison Report - meeting 51 (WG2 N3361)	Peter Constable	2007-09-24
L2/07-330	Proposal for a new edition of ISO/IEC 10646 (WG2 N3362)	WG2	2007-09-24
L2/07-331	Proposal to add Tamil sequences to NamedSequencesProv.txt	Mark Davis	2007-09-24
L2/07-332	Proposal to encode the Livre Tournois sign in the UCS (WG2 N3387)	David R. Sewell	2007-09-24
L2/07-333	Proposal to add twenty-one CJK Unified Ideographs to the UCS	Ken Lunde	2007-10-02
L2/07-334	Proposal to encode two phonetic characters and two Shona characters (revised)	Lorna Priest	2007-10-17
L2/07-335	Linebreak Test Files (cover)	Mark Davis	2007-10-05
L2/07-336	Line Break Chart (5.0.1 d4) - HTML	Mark Davis	2007-10-05
L2/07-337	LineBreakTest-5.0.1.txt - data file	Mark Davis	2007-10-05
L2/07-338	UCD.html as a UAX	Mark Davis	2007-10-05
L2/07-339	Branding and Tech Report Titles	Mark Davis	2007-10-10
L2/07-340	OGHAM SPACE MARK shouldn’t be whitespace	Mark Davis	2007-10-10
L2/07-341	Deprecating Stateful Controls	Mark Davis	2007-10-10
L2/07-342	Proposal for the encoding of Brāhmī in Plane 1 of ISO/IEC 10646	Stefan Baums, Andrew Glass	2007-10-10
L2/07-343	Proposal to encode 55 characters for Vedic Sanskrit in the BMP	Michael Everson, Peter Scharf, et al	2007-10-18
L2/07-344	UTC #113 Agenda	Lisa Moore	2007-10-13
L2/07-345	UTC #113 Minutes	Lisa Moore	2007-10-25
L2/07-346	UTC #113 Motions	Lisa Moore	2007-10-25
L2/07-347	L2 #210 Agenda	Eric Muller	2007-10-17
L2/07-348	L2 #210 Minutes	Eric Muller	2007-10-17
L2/07-349	UAX #18 Suggested Changes	Mark Davis, Andy Heninger	2007-10-10
L2/07-350	Comments on Public Review Issues (August 1, 2007 - October 13, 2007)	Rick McGowan	2007-10-13
L2/07-351	Ill-formed UTF-8 sequences	Ken Whistler, Mark Davis	2007-10-11
L2/07-352	Feedback on L2/07-299 Preliminary Proposal for Northeastern Yunnan Simple Miao (WG2 N3335)	Deborah Anderson	2007-10-11
L2/07-353	WG2 Consent Docket	Ken Whistler	2007-10-11
L2/07-354	Proposal to Encode North Indic Number Forms (replaces L2/07-139)	Anshuman Pandey	2007-10-11
L2/07-355	L2/UTC Open Action Items, prior to UTC #113 / L2 #210	Rick McGowan	2007-10-13
L2/07-356	Recently Closed Action Items (since 2007-08-01)	Rick McGowan	2007-10-13
L2/07-357	Proposal for encoding the Old Lisu script in the BMP (WG2 N3317R2)	China N.B.	2007-10-13
L2/07-358	Proposed Update to UAX #15: Unicode Normalization Forms (for PRI #102; HTML)	Mark Davis, Martin Dürst	2007-10-13
L2/07-359	Proposed Update to UAX #29: Text Boundaries (for PRI #103; HTML)	Mark Davis	2007-10-13
L2/07-360	Proposed Update to UAX #31: Identifier and Pattern Syntax (for PRI #104; HTML)	Mark Davis	2007-10-13
L2/07-361	Proposed Update to UAX #14: Line Breaking Properties (for PRI #105; HTML)	Andy Heninger	2007-10-13
L2/07-362	Proposed Draft UTR #42: An XML representation of the UCD (for PRI #109; HTML)	Eric Muller	2007-10-13
L2/07-363	Proposed Update to UAX #24 Script Names (for PRI #110; HTML)	Mark Davis, Ken Whistler	2007-10-13
L2/07-364	Proposed Update to UTS #18 Unicode Regular Expressions (for PRI #111; HTML)	Mark Davis	2007-10-13
L2/07-365	Proposed Update to UAX #9 Unicode Bidirectional Algorithm (for PRI #112; HTML)	Mark Davis	2007-10-13
L2/07-366	Proposed Update to UTS #10 Unicode Collation Algorithm (for PRI #113; HTML)	Mark Davis, Ken Whistler	2007-10-13
L2/07-367	Proposed Update to UAX #34 Unicode Named Character Sequences (for PRI #114; HTML)	Ken Whistler	2007-10-13
L2/07-368	Casing language	Mark Davis	2007-10-13
L2/07-369	Changes to UAX#15 re. Stream Safe Text Format	Martin Dürst	2007-10-13
L2/07-370	Word/Sentence punctuation properties	Mark Davis	2007-10-13
L2/07-371	Proposal for encoding Nüshu in the SMP (WG2 N3287, replaces L2/07-293	China N.B.	2007-10-13
L2/07-372	Summary of Voting on ISO/IEC JTC 1/SC 2 N 3943 : ISO/IEC 10646: 2003/FPDAM 4,	SC2	2007-10-16
L2/07-373	Disposition of Comments Report on SC 2 N 3943, ISO/IEC 10646: 2003/FPDAM 4	SC2	2007-10-16
L2/07-374	Disposition of Comments Report on SC 2 N 3940, ISO/IEC 10646: 2003/PDAM 5	SC2	2007-10-16
L2/07-375	Project Subdivision Proposal for ISO/IEC 14651: 2007/Amendment 1	OWG-SORT	2007-10-16
L2/07-376	Recommendations and Notes taken at the 6th Meeting of ISO/IEC JTC 1/SC 2/OWG-SORT	OWG-SORT	2007-10-16
L2/07-377	Project Subdivision Proposal for ISO/IEC 10646: 2003/Amd. 6	SC2	2007-10-16
L2/07-378	Project Subdivision Proposal for Consolidating ISO/IEC 10646: 2003 and Amendment 1 - 5 into a New Edition of ISO/IEC 10646 (WG2 N3360R)	WG2	2007-10-22
L2/07-379	Letter ballot on Withdrawal of ISO/IEC TR 14652	Eric Muller	2007-10-16
L2/07-380	Liaison Report from Script Encoding Initiative, UC Berkeley	Deborah Anderson	2007-10-16
L2/07-381	Unconfirmed minutes of WG 2 meeting 51	WG2	2007-10-16
L2/07-382	WG2: Action Items for review at Meeting M52 Section 16 of meeting M50 minutes	WG2	2007-10-16
L2/07-383	Small change to UAX#29	Mark Davis	2007-10-17
L2/07-384	UAX 14, shorten lists of characters	Andy Heninger	2007-10-17
L2/07-385	Unclear action	Mark Davis	2007-10-17
L2/07-386	Comments on Comparison of proposed characters in Lata 2006 (L2/06-185) with Scharf and Everson WG2/n3290 (L2/07-230)	R. K. Joshi	2007-10-17
L2/07-387	Proposal to encode six CJK Ideographs in UCS	Japan N.B.	2007-10-17
L2/07-388	Following observations have been made with reference to the document No. L2/07-095 dated: 2007-04-13	R. K. Joshi	2007-10-17
L2/07-389	Prepending characters in XCCS	Mark Davis	2007-10-17
L2/07-390	Changes in L2/07-354 North Indic Number Forms (vs. L2/07-139)	Deborah Anderson	2007-10-17
L2/07-391	Japanese TV Symbols (replaces L2/07-259)	Michel Suignard	2007-10-17
L2/07-392	Irish comments on L2/07-340 "OGHAM SPACE MARK shouldn’t be whitespace"	Michael Everson	2007-10-17
L2/07-393	Correction to L2/07-090, L2/07-129 on how Malayalam Chillus used in boundary cases	Cibu Johny	2007-10-18
L2/07-394	Significant differences between L2/07-230 and L2/07-343	Peter Scharf	2007-10-18
L2/07-395	Request for feedback on draft proposal for encoding Vaidika characters and symbols in Unicode	R. K. Joshi, et al	2007-10-18
L2/07-396	Proposal for Encoding of Vaidika Character and Symbols in Unicode	R. K. Joshi, et al	2007-10-18
L2/07-397	Vaidika Vowels and Consonants	R. K. Joshi, et al	2007-10-18
L2/07-398	Word/Sentence punctuation property recommendations	Mark Davis	2007-10-18
L2/07-399	Proposed bugfix / enhancement for UAX #29	Peter Edberg	2007-10-18
L2/07-400	Comments on R. K. Joshi’s documents L2/07-386 and L2/07-388	Peter Scharf	2007-10-18
L2/07-401	Equivalences between L2/07-396 and L2/07-343	Peter Scharf	2007-10-18
L2/07-402	Malayalam Chillus in grapheme clusters	Cibu Johny	2007-10-19
L2/07-403	Notification to INCITS L2 for 2008 National Standards Maintenance Recommendations	INCITS	2007-10-22
L2/07-404	Call for Volunteers - International Representative - INCITS/L2, Character Sets and Internationalization	Jennifer Garner / INCITS	2007-10-26
L2/07-405	Additional Property Value Aliases	Mark Davis	2007-11-06
L2/07-406	Scripts on Roadmap covered by Brahmi encoding	Andrew Glass, Stefan Baums	2007-11-20
L2/07-407	Report on IRG Meeting 29	John Jenkins	2007-11-20
L2/07-408	Resolutions of IRG Meeting #29	IRG	2007-11-20
L2/07-409	Information technology - Universal Multiple-Octet Coded Character Set (UCS) - AMENDMENT 3 (FDAM, SC2 N 3946) (additional files are HERE)	SC2	2007-11-20
L2/07-410	Explanatory Report, ISO/IEC 10646: 2003/FDAM 3 (SC2 N 3946)	SC2	2007-11-20
L2/07-411	Comments on PRI 108: Combined registration of the Adobe-Japan1 collection and of sequences in that collection	Masahiro Sekiguchi	2007-12-05
L2/07-412	Preliminary proposal to encode the Mandaic script	Michael Everson	2008-01-01
L2/07-413	Proposal to Encode Oriya Fraction Signs	Anshuman Pandey	2007-12-05
L2/07-414	Proposal to Encode Siyaq Numerals	Anshuman Pandey	2007-12-05
L2/07-415	Security issue in C7	Mark Davis	2007-12-06
L2/07-416	Second Call for Volunteers - International Representative - INCITS/L2	Jennifer Garner	2007-12-17
L2/07-417	Information for Letter Ballot on the Withdrawal of ISO/IEC TR 14652:2004 (Specification method for cultural conventions)	SC22	2007-12-17
L2/07-418	Proposal to Encode the Kaithi Script (WG2 N3389)	Anshuman Pandey	2007-12-17
L2/07-419	Proposal to Encode the Takri Script	Anshuman Pandey	2007-12-17
L2/07-420	Tai Tham ad-hoc meeting 21-22 Jan 2008, Payap University, ChiangMai, Thailand	WG2	2007-12-19
L2/07-421	Proposal to encode two Kana characters concerning YE (WG2 N3388)	Nozomu Katō	2007-12-25
L2/07-422	A preliminary collection of alchemical symbols	James Kass	2007-12-25
L2/07-423	Documentation on legacy encodings of the Old Lisu script	China N.B.	2007-12-29
L2/08-001	Complete L2/UTC document register 2007	Rick McGowan	2008-01-02
L2/08-002	UTC #114 Agenda	Lisa Moore	2008-01-29
L2/08-003	UTC #114 Minutes	Lisa Moore	2008-02-14
L2/08-004	UTC #114 Motions	Lisa Moore	2008-02-14
L2/08-005	L2 #211 Agenda	Eric Muller	2008-02-08
L2/08-006	L2 #211 Minutes	Eric Muller	2008-03-07
L2/08-007	Inclusion of archaic Sinhala numerals in the Sinhala character code range	ICT / Sri Lanka	2008-01-07
