#Code	Age	GC	DT	Name	N4M	Trial	NFKCCF	UCA	Δ	Δ	Δ	N4M Hex	Trial Hex	NFKCCF Hex	UCA Hex	Trial Reasons
'0385	'1.1	'Sk	'Can	GREEK DIALYTIKA TONOS	'΅	'΅	' ̈́	' ̈́		Tr≠NF	Tr≠UCA	'0385	'0385	'0020 0308 0301	'0020 0308 0301	14 Skip decomp contains «[\ ]» (and isn't singleton)
'1FC1	'1.1	'Sk	'Can	GREEK DIALYTIKA AND PERISPOMENI	'῁	'῁	' ̈͂	' ̈͂		Tr≠NF	Tr≠UCA	'1FC1	'1FC1	'0020 0308 0342	'0020 0308 0342	14 Skip decomp contains «[\ ]» (and isn't singleton)
'1FCD	'1.1	'Sk	'Can	GREEK PSILI AND VARIA	'῍	'῍	' ̓̀	' ̓̀		Tr≠NF	Tr≠UCA	'1FCD	'1FCD	'0020 0313 0300	'0020 0313 0300	14 Skip decomp contains «[\ ]» (and isn't singleton)
'1FCE	'1.1	'Sk	'Can	GREEK PSILI AND OXIA	'῎	'῎	' ̓́	' ̓́		Tr≠NF	Tr≠UCA	'1FCE	'1FCE	'0020 0313 0301	'0020 0313 0301	14 Skip decomp contains «[\ ]» (and isn't singleton)
'1FCF	'1.1	'Sk	'Can	GREEK PSILI AND PERISPOMENI	'῏	'῏	' ̓͂	' ̓͂		Tr≠NF	Tr≠UCA	'1FCF	'1FCF	'0020 0313 0342	'0020 0313 0342	14 Skip decomp contains «[\ ]» (and isn't singleton)
'1FDD	'1.1	'Sk	'Can	GREEK DASIA AND VARIA	'῝	'῝	' ̔̀	' ̔̀		Tr≠NF	Tr≠UCA	'1FDD	'1FDD	'0020 0314 0300	'0020 0314 0300	14 Skip decomp contains «[\ ]» (and isn't singleton)
'1FDE	'1.1	'Sk	'Can	GREEK DASIA AND OXIA	'῞	'῞	' ̔́	' ̔́		Tr≠NF	Tr≠UCA	'1FDE	'1FDE	'0020 0314 0301	'0020 0314 0301	14 Skip decomp contains «[\ ]» (and isn't singleton)
'1FDF	'1.1	'Sk	'Can	GREEK DASIA AND PERISPOMENI	'῟	'῟	' ̔͂	' ̔͂		Tr≠NF	Tr≠UCA	'1FDF	'1FDF	'0020 0314 0342	'0020 0314 0342	14 Skip decomp contains «[\ ]» (and isn't singleton)
'1FED	'1.1	'Sk	'Can	GREEK DIALYTIKA AND VARIA	'῭	'῭	' ̈̀	' ̈̀		Tr≠NF	Tr≠UCA	'1FED	'1FED	'0020 0308 0300	'0020 0308 0300	14 Skip decomp contains «[\ ]» (and isn't singleton)
'1FEF	'1.1	'Sk	'Can	GREEK VARIA	'`	'`	'`	'`	Tr≠N4M			'1FEF	'0060	'0060	'0060	16. NFKC_CF-Canonical
'1FEE	'1.1	'Sk	'Can	GREEK DIALYTIKA AND OXIA	'΅	'΅	' ̈́	' ̈́	Tr≠N4M	Tr≠NF	Tr≠UCA	'1FEE	'0385	'0020 0308 0301	'0020 0308 0301	14 Skip decomp contains «[\ ]» (and isn't singleton)
'1FFD	'1.1	'Sk	'Can	GREEK OXIA	'´	'´	' ́	' ́	Tr≠N4M	Tr≠NF	Tr≠UCA	'1FFD	'00B4	'0020 0301	'0020 0301	14 Skip decomp contains «[\ ]» (and isn't singleton)
'00A8	'1.1	'Sk	'Com	DIAERESIS	'¨	'¨	' ̈	' ̈		Tr≠NF	Tr≠UCA	'00A8	'00A8	'0020 0308	'0020 0308	14 Skip decomp contains «[\ ]» (and isn't singleton)
'00AF	'1.1	'Sk	'Com	MACRON	'¯	'¯	' ̄	' ̄		Tr≠NF	Tr≠UCA	'00AF	'00AF	'0020 0304	'0020 0304	14 Skip decomp contains «[\ ]» (and isn't singleton)
'00B4	'1.1	'Sk	'Com	ACUTE ACCENT	'´	'´	' ́	' ́		Tr≠NF	Tr≠UCA	'00B4	'00B4	'0020 0301	'0020 0301	14 Skip decomp contains «[\ ]» (and isn't singleton)
'00B8	'1.1	'Sk	'Com	CEDILLA	'¸	'¸	' ̧	' ̧		Tr≠NF	Tr≠UCA	'00B8	'00B8	'0020 0327	'0020 0327	14 Skip decomp contains «[\ ]» (and isn't singleton)
'02D8	'1.1	'Sk	'Com	BREVE	'˘	'˘	' ̆	' ̆		Tr≠NF	Tr≠UCA	'02D8	'02D8	'0020 0306	'0020 0306	14 Skip decomp contains «[\ ]» (and isn't singleton)
'02D9	'1.1	'Sk	'Com	DOT ABOVE	'˙	'˙	' ̇	' ̇		Tr≠NF	Tr≠UCA	'02D9	'02D9	'0020 0307	'0020 0307	14 Skip decomp contains «[\ ]» (and isn't singleton)
'02DA	'1.1	'Sk	'Com	RING ABOVE	'˚	'˚	' ̊	' ̊		Tr≠NF	Tr≠UCA	'02DA	'02DA	'0020 030A	'0020 030A	14 Skip decomp contains «[\ ]» (and isn't singleton)
'02DB	'1.1	'Sk	'Com	OGONEK	'˛	'˛	' ̨	' ̨		Tr≠NF	Tr≠UCA	'02DB	'02DB	'0020 0328	'0020 0328	14 Skip decomp contains «[\ ]» (and isn't singleton)
'02DC	'1.1	'Sk	'Com	SMALL TILDE	'˜	'˜	' ̃	' ̃		Tr≠NF	Tr≠UCA	'02DC	'02DC	'0020 0303	'0020 0303	14 Skip decomp contains «[\ ]» (and isn't singleton)
'02DD	'1.1	'Sk	'Com	DOUBLE ACUTE ACCENT	'˝	'˝	' ̋	' ̋		Tr≠NF	Tr≠UCA	'02DD	'02DD	'0020 030B	'0020 030B	14 Skip decomp contains «[\ ]» (and isn't singleton)
'0384	'1.1	'Sk	'Com	GREEK TONOS	'΄	'΄	' ́	' ́		Tr≠NF	Tr≠UCA	'0384	'0384	'0020 0301	'0020 0301	14 Skip decomp contains «[\ ]» (and isn't singleton)
'1FBD	'1.1	'Sk	'Com	GREEK KORONIS	'᾽	'᾽	' ̓	' ̓		Tr≠NF	Tr≠UCA	'1FBD	'1FBD	'0020 0313	'0020 0313	14 Skip decomp contains «[\ ]» (and isn't singleton)
'1FBF	'1.1	'Sk	'Com	GREEK PSILI	'᾿	'᾿	' ̓	' ̓		Tr≠NF	Tr≠UCA	'1FBF	'1FBF	'0020 0313	'0020 0313	14 Skip decomp contains «[\ ]» (and isn't singleton)
'1FC0	'1.1	'Sk	'Com	GREEK PERISPOMENI	'῀	'῀	' ͂	' ͂		Tr≠NF	Tr≠UCA	'1FC0	'1FC0	'0020 0342	'0020 0342	14 Skip decomp contains «[\ ]» (and isn't singleton)
'1FFE	'1.1	'Sk	'Com	GREEK DASIA	'῾	'῾	' ̔	' ̔		Tr≠NF	Tr≠UCA	'1FFE	'1FFE	'0020 0314	'0020 0314	14 Skip decomp contains «[\ ]» (and isn't singleton)
'309B	'1.1	'Sk	'Com	KATAKANA-HIRAGANA VOICED SOUND MARK	'゙	'゛	' ゙	' ゙	Tr≠N4M	Tr≠NF	Tr≠UCA	'3099	'309B	'0020 3099	'0020 3099	14 Skip decomp contains «[\ ]» (and isn't singleton)
'309C	'1.1	'Sk	'Com	KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK	'゚	'゜	' ゚	' ゚	Tr≠N4M	Tr≠NF	Tr≠UCA	'309A	'309C	'0020 309A	'0020 309A	14 Skip decomp contains «[\ ]» (and isn't singleton)
'FFE3	'1.1	'Sk	'Wide	FULLWIDTH MACRON	'¯	'￣	' ̄	' ̄	Tr≠N4M	Tr≠NF	Tr≠UCA	'00AF	'FFE3	'0020 0304	'0020 0304	14 Skip decomp contains «[\ ]» (and isn't singleton)
'20A8	'1.1	'Sc	'Com	RUPEE SIGN	'₨	'rs	'rs	'rs	Tr≠N4M			'20A8	'0072 0073	'0072 0073	'0072 0073	16. NFKC_CF-Compat
'FDFC	'3.2	'Sc	'Iso	RIAL SIGN	'﷼	'ریال	'ریال	'ریال	Tr≠N4M			'FDFC	'0631 06CC 0627 0644	'0631 06CC 0627 0644	'0631 06CC 0627 0644	16. NFKC_CF-Isolated
'FE69	'1.1	'Sc	'Sml	SMALL DOLLAR SIGN	'﹩	'$	'$	'$	Tr≠N4M			'FE69	'0024	'0024	'0024	16. NFKC_CF-Small
'2329	'1.1	'Ps	'Can	LEFT-POINTING ANGLE BRACKET	'〈	'〈	'〈	'〈	Tr≠N4M		Tr≠UCA	'2329	'3008	'3008	'2329	16. NFKC_CF-Canonical
'FF62	'1.1	'Ps	'Nar	HALFWIDTH LEFT CORNER BRACKET	'｢	'「	'「	'「	Tr≠N4M			'FF62	'300C	'300C	'300C	16. NFKC_CF-Narrow
'FE59	'1.1	'Ps	'Sml	SMALL LEFT PARENTHESIS	'﹙	'(	'(	'(	Tr≠N4M			'FE59	'0028	'0028	'0028	16. NFKC_CF-Small
'FE5B	'1.1	'Ps	'Sml	SMALL LEFT CURLY BRACKET	'﹛	'{	'{	'{	Tr≠N4M			'FE5B	'007B	'007B	'007B	16. NFKC_CF-Small
'FE5D	'1.1	'Ps	'Sml	SMALL LEFT TORTOISE SHELL BRACKET	'﹝	'〔	'〔	'〔	Tr≠N4M			'FE5D	'3014	'3014	'3014	16. NFKC_CF-Small
'208D	'1.1	'Ps	'Sub	SUBSCRIPT LEFT PARENTHESIS	'₍	'₍	'(	'(		Tr≠NF	Tr≠UCA	'208D	'208D	'0028	'0028	9 skip certain types
'207D	'1.1	'Ps	'Sup	SUPERSCRIPT LEFT PARENTHESIS	'⁽	'⁽	'(	'(		Tr≠NF	Tr≠UCA	'207D	'207D	'0028	'0028	9 skip certain types
'FE17	'4.1	'Ps	'Vert	PRESENTATION FORM FOR VERTICAL LEFT WHITE LENTICULAR BRACKET	'︗	'︗	'〖	'〖		Tr≠NF	Tr≠UCA	'FE17	'FE17	'3016	'3016	9 skip certain types
'FE35	'1.1	'Ps	'Vert	PRESENTATION FORM FOR VERTICAL LEFT PARENTHESIS	'︵	'︵	'(	'(		Tr≠NF	Tr≠UCA	'FE35	'FE35	'0028	'0028	9 skip certain types
'FE37	'1.1	'Ps	'Vert	PRESENTATION FORM FOR VERTICAL LEFT CURLY BRACKET	'︷	'︷	'{	'{		Tr≠NF	Tr≠UCA	'FE37	'FE37	'007B	'007B	9 skip certain types
'FE39	'1.1	'Ps	'Vert	PRESENTATION FORM FOR VERTICAL LEFT TORTOISE SHELL BRACKET	'︹	'︹	'〔	'〔		Tr≠NF	Tr≠UCA	'FE39	'FE39	'3014	'3014	9 skip certain types
'FE3B	'1.1	'Ps	'Vert	PRESENTATION FORM FOR VERTICAL LEFT BLACK LENTICULAR BRACKET	'︻	'︻	'【	'【		Tr≠NF	Tr≠UCA	'FE3B	'FE3B	'3010	'3010	9 skip certain types
'FE3D	'1.1	'Ps	'Vert	PRESENTATION FORM FOR VERTICAL LEFT DOUBLE ANGLE BRACKET	'︽	'︽	'《	'《		Tr≠NF	Tr≠UCA	'FE3D	'FE3D	'300A	'300A	9 skip certain types
'FE3F	'1.1	'Ps	'Vert	PRESENTATION FORM FOR VERTICAL LEFT ANGLE BRACKET	'︿	'︿	'〈	'〈		Tr≠NF	Tr≠UCA	'FE3F	'FE3F	'3008	'2329	9 skip certain types
'FE41	'1.1	'Ps	'Vert	PRESENTATION FORM FOR VERTICAL LEFT CORNER BRACKET	'﹁	'﹁	'「	'「		Tr≠NF	Tr≠UCA	'FE41	'FE41	'300C	'300C	9 skip certain types
'FE43	'1.1	'Ps	'Vert	PRESENTATION FORM FOR VERTICAL LEFT WHITE CORNER BRACKET	'﹃	'﹃	'『	'『		Tr≠NF	Tr≠UCA	'FE43	'FE43	'300E	'300E	9 skip certain types
'FE47	'4.0	'Ps	'Vert	PRESENTATION FORM FOR VERTICAL LEFT SQUARE BRACKET	'﹇	'﹇	'[	'[		Tr≠NF	Tr≠UCA	'FE47	'FE47	'005B	'005B	9 skip certain types
'037E	'1.1	'Po	'Can	GREEK QUESTION MARK	';	';	';	';	Tr≠N4M			'037E	'003B	'003B	'003B	16. NFKC_CF-Canonical
'0387	'1.1	'Po	'Can	GREEK ANO TELEIA	'·	'·	'·	'·	Tr≠N4M			'0387	'00B7	'00B7	'00B7	16. NFKC_CF-Canonical
'2017	'1.1	'Po	'Com	DOUBLE LOW LINE	'‗	'‗	' ̳	' ̖		Tr≠NF	Tr≠UCA	'2017	'2017	'0020 0333	'0020 0316	14 Skip decomp contains «[\ ]» (and isn't singleton)
'203E	'1.1	'Po	'Com	OVERLINE	'‾	'‾	' ̅	' ̅		Tr≠NF	Tr≠UCA	'203E	'203E	'0020 0305	'0020 0305	14 Skip decomp contains «[\ ]» (and isn't singleton)
'FE49	'1.1	'Po	'Com	DASHED OVERLINE	'﹉	'﹉	' ̅	' ̅		Tr≠NF	Tr≠UCA	'FE49	'FE49	'0020 0305	'0020 0305	14 Skip decomp contains «[\ ]» (and isn't singleton)
'FE4A	'1.1	'Po	'Com	CENTRELINE OVERLINE	'﹊	'﹊	' ̅	' ̅		Tr≠NF	Tr≠UCA	'FE4A	'FE4A	'0020 0305	'0020 0305	14 Skip decomp contains «[\ ]» (and isn't singleton)
'FE4B	'1.1	'Po	'Com	WAVY OVERLINE	'﹋	'﹋	' ̅	' ̅		Tr≠NF	Tr≠UCA	'FE4B	'FE4B	'0020 0305	'0020 0305	14 Skip decomp contains «[\ ]» (and isn't singleton)
'FE4C	'1.1	'Po	'Com	DOUBLE WAVY OVERLINE	'﹌	'﹌	' ̅	' ̅		Tr≠NF	Tr≠UCA	'FE4C	'FE4C	'0020 0305	'0020 0305	14 Skip decomp contains «[\ ]» (and isn't singleton)
'2024	'1.1	'Po	'Com	ONE DOT LEADER	'․	'.	'.	'.	Tr≠N4M			'2024	'002E	'002E	'002E	16. NFKC_CF-Compat
'2025	'1.1	'Po	'Com	TWO DOT LEADER	'‥	'..	'..	'..	Tr≠N4M			'2025	'002E 002E	'002E 002E	'002E 002E	16. NFKC_CF-Compat
'2026	'1.1	'Po	'Com	HORIZONTAL ELLIPSIS	'…	'...	'...	'...	Tr≠N4M			'2026	'002E 002E 002E	'002E 002E 002E	'002E 002E 002E	16. NFKC_CF-Compat
'2033	'1.1	'Po	'Com	DOUBLE PRIME	'″	'′′	'′′	'′′	Tr≠N4M			'2033	'2032 2032	'2032 2032	'2032 2032	16. NFKC_CF-Compat
'2034	'1.1	'Po	'Com	TRIPLE PRIME	'‴	'′′′	'′′′	'′′′	Tr≠N4M			'2034	'2032 2032 2032	'2032 2032 2032	'2032 2032 2032	16. NFKC_CF-Compat
'2036	'1.1	'Po	'Com	REVERSED DOUBLE PRIME	'‶	'‵‵	'‵‵	'‵‵	Tr≠N4M			'2036	'2035 2035	'2035 2035	'2035 2035	16. NFKC_CF-Compat
'2037	'1.1	'Po	'Com	REVERSED TRIPLE PRIME	'‷	'‵‵‵	'‵‵‵	'‵‵‵	Tr≠N4M			'2037	'2035 2035 2035	'2035 2035 2035	'2035 2035 2035	16. NFKC_CF-Compat
'203C	'1.1	'Po	'Com	DOUBLE EXCLAMATION MARK	'‼	'!!	'!!	'!!	Tr≠N4M			'203C	'0021 0021	'0021 0021	'0021 0021	16. NFKC_CF-Compat
'2047	'3.2	'Po	'Com	DOUBLE QUESTION MARK	'⁇	'??	'??	'??	Tr≠N4M			'2047	'003F 003F	'003F 003F	'003F 003F	16. NFKC_CF-Compat
'2048	'3.0	'Po	'Com	QUESTION EXCLAMATION MARK	'⁈	'?!	'?!	'?!	Tr≠N4M			'2048	'003F 0021	'003F 0021	'003F 0021	16. NFKC_CF-Compat
'2049	'3.0	'Po	'Com	EXCLAMATION QUESTION MARK	'⁉	'!?	'!?	'!?	Tr≠N4M			'2049	'0021 003F	'0021 003F	'0021 003F	16. NFKC_CF-Compat
'2057	'3.2	'Po	'Com	QUADRUPLE PRIME	'⁗	'′′′′	'′′′′	'′′′′	Tr≠N4M			'2057	'2032 2032 2032 2032	'2032 2032 2032 2032	'2032 2032 2032 2032	16. NFKC_CF-Compat
'FF61	'1.1	'Po	'Nar	HALFWIDTH IDEOGRAPHIC FULL STOP	'｡	'。	'。	'。	Tr≠N4M			'FF61	'3002	'3002	'3002	16. NFKC_CF-Narrow
'FF64	'1.1	'Po	'Nar	HALFWIDTH IDEOGRAPHIC COMMA	'､	'、	'、	'、	Tr≠N4M			'FF64	'3001	'3001	'3001	16. NFKC_CF-Narrow
'FF65	'1.1	'Po	'Nar	HALFWIDTH KATAKANA MIDDLE DOT	'･	'・	'・	'・	Tr≠N4M			'FF65	'30FB	'30FB	'30FB	16. NFKC_CF-Narrow
'0F0C	'2.0	'Po	'Nb	TIBETAN MARK DELIMITER TSHEG BSTAR	'༌	'་	'་	'་	Tr≠N4M			'0F0C	'0F0B	'0F0B	'0F0B	16. NFKC_CF-Nobreak
'FE50	'1.1	'Po	'Sml	SMALL COMMA	'﹐	',	',	',	Tr≠N4M			'FE50	'002C	'002C	'002C	16. NFKC_CF-Small
'FE51	'1.1	'Po	'Sml	SMALL IDEOGRAPHIC COMMA	'﹑	'、	'、	'、	Tr≠N4M			'FE51	'3001	'3001	'3001	16. NFKC_CF-Small
'FE52	'1.1	'Po	'Sml	SMALL FULL STOP	'﹒	'.	'.	'.	Tr≠N4M			'FE52	'002E	'002E	'002E	16. NFKC_CF-Small
'FE54	'1.1	'Po	'Sml	SMALL SEMICOLON	'﹔	';	';	';	Tr≠N4M			'FE54	'003B	'003B	'003B	16. NFKC_CF-Small
'FE55	'1.1	'Po	'Sml	SMALL COLON	'﹕	':	':	':	Tr≠N4M			'FE55	'003A	'003A	'003A	16. NFKC_CF-Small
'FE56	'1.1	'Po	'Sml	SMALL QUESTION MARK	'﹖	'?	'?	'?	Tr≠N4M			'FE56	'003F	'003F	'003F	16. NFKC_CF-Small
'FE57	'1.1	'Po	'Sml	SMALL EXCLAMATION MARK	'﹗	'!	'!	'!	Tr≠N4M			'FE57	'0021	'0021	'0021	16. NFKC_CF-Small
'FE5F	'1.1	'Po	'Sml	SMALL NUMBER SIGN	'﹟	'#	'#	'#	Tr≠N4M			'FE5F	'0023	'0023	'0023	16. NFKC_CF-Small
'FE60	'1.1	'Po	'Sml	SMALL AMPERSAND	'﹠	'&	'&	'&	Tr≠N4M			'FE60	'0026	'0026	'0026	16. NFKC_CF-Small
'FE61	'1.1	'Po	'Sml	SMALL ASTERISK	'﹡	'*	'*	'*	Tr≠N4M			'FE61	'002A	'002A	'002A	16. NFKC_CF-Small
'FE68	'1.1	'Po	'Sml	SMALL REVERSE SOLIDUS	'﹨	'\	'\	'\	Tr≠N4M			'FE68	'005C	'005C	'005C	16. NFKC_CF-Small
'FE6A	'1.1	'Po	'Sml	SMALL PERCENT SIGN	'﹪	'%	'%	'%	Tr≠N4M			'FE6A	'0025	'0025	'0025	16. NFKC_CF-Small
'FE6B	'1.1	'Po	'Sml	SMALL COMMERCIAL AT	'﹫	'@	'@	'@	Tr≠N4M			'FE6B	'0040	'0040	'0040	16. NFKC_CF-Small
'FE19	'4.1	'Po	'Vert	PRESENTATION FORM FOR VERTICAL HORIZONTAL ELLIPSIS	'︙	'︙	'...	'...		Tr≠NF	Tr≠UCA	'FE19	'FE19	'002E 002E 002E	'002E 002E 002E	9 skip certain types
'FE30	'1.1	'Po	'Vert	PRESENTATION FORM FOR VERTICAL TWO DOT LEADER	'︰	'︰	'..	'..		Tr≠NF	Tr≠UCA	'FE30	'FE30	'002E 002E	'002E 002E	9 skip certain types
'FE10	'4.1	'Po	'Vert	PRESENTATION FORM FOR VERTICAL COMMA	'︐	',	',	',	Tr≠N4M			'FE10	'002C	'002C	'002C	04+. retain_vertical
'FE11	'4.1	'Po	'Vert	PRESENTATION FORM FOR VERTICAL IDEOGRAPHIC COMMA	'︑	'、	'、	'、	Tr≠N4M			'FE11	'3001	'3001	'3001	04+. retain_vertical
'FE12	'4.1	'Po	'Vert	PRESENTATION FORM FOR VERTICAL IDEOGRAPHIC FULL STOP	'︒	'。	'。	'。	Tr≠N4M			'FE12	'3002	'3002	'3002	04+. retain_vertical
'FE13	'4.1	'Po	'Vert	PRESENTATION FORM FOR VERTICAL COLON	'︓	':	':	':	Tr≠N4M			'FE13	'003A	'003A	'003A	04+. retain_vertical
'FE14	'4.1	'Po	'Vert	PRESENTATION FORM FOR VERTICAL SEMICOLON	'︔	';	';	';	Tr≠N4M			'FE14	'003B	'003B	'003B	04+. retain_vertical
'FE15	'4.1	'Po	'Vert	PRESENTATION FORM FOR VERTICAL EXCLAMATION MARK	'︕	'!	'!	'!	Tr≠N4M			'FE15	'0021	'0021	'0021	04+. retain_vertical
'FE16	'4.1	'Po	'Vert	PRESENTATION FORM FOR VERTICAL QUESTION MARK	'︖	'?	'?	'?	Tr≠N4M			'FE16	'003F	'003F	'003F	04+. retain_vertical
'232A	'1.1	'Pe	'Can	RIGHT-POINTING ANGLE BRACKET	'〉	'〉	'〉	'〉	Tr≠N4M		Tr≠UCA	'232A	'3009	'3009	'232A	16. NFKC_CF-Canonical
'FF63	'1.1	'Pe	'Nar	HALFWIDTH RIGHT CORNER BRACKET	'｣	'」	'」	'」	Tr≠N4M			'FF63	'300D	'300D	'300D	16. NFKC_CF-Narrow
'FE5A	'1.1	'Pe	'Sml	SMALL RIGHT PARENTHESIS	'﹚	')	')	')	Tr≠N4M			'FE5A	'0029	'0029	'0029	16. NFKC_CF-Small
'FE5C	'1.1	'Pe	'Sml	SMALL RIGHT CURLY BRACKET	'﹜	'}	'}	'}	Tr≠N4M			'FE5C	'007D	'007D	'007D	16. NFKC_CF-Small
'FE5E	'1.1	'Pe	'Sml	SMALL RIGHT TORTOISE SHELL BRACKET	'﹞	'〕	'〕	'〕	Tr≠N4M			'FE5E	'3015	'3015	'3015	16. NFKC_CF-Small
'208E	'1.1	'Pe	'Sub	SUBSCRIPT RIGHT PARENTHESIS	'₎	'₎	')	')		Tr≠NF	Tr≠UCA	'208E	'208E	'0029	'0029	9 skip certain types
'207E	'1.1	'Pe	'Sup	SUPERSCRIPT RIGHT PARENTHESIS	'⁾	'⁾	')	')		Tr≠NF	Tr≠UCA	'207E	'207E	'0029	'0029	9 skip certain types
'FE18	'4.1	'Pe	'Vert	PRESENTATION FORM FOR VERTICAL RIGHT WHITE LENTICULAR BRAKCET	'︘	'︘	'〗	'〗		Tr≠NF	Tr≠UCA	'FE18	'FE18	'3017	'3017	9 skip certain types
'FE36	'1.1	'Pe	'Vert	PRESENTATION FORM FOR VERTICAL RIGHT PARENTHESIS	'︶	'︶	')	')		Tr≠NF	Tr≠UCA	'FE36	'FE36	'0029	'0029	9 skip certain types
'FE38	'1.1	'Pe	'Vert	PRESENTATION FORM FOR VERTICAL RIGHT CURLY BRACKET	'︸	'︸	'}	'}		Tr≠NF	Tr≠UCA	'FE38	'FE38	'007D	'007D	9 skip certain types
'FE3A	'1.1	'Pe	'Vert	PRESENTATION FORM FOR VERTICAL RIGHT TORTOISE SHELL BRACKET	'︺	'︺	'〕	'〕		Tr≠NF	Tr≠UCA	'FE3A	'FE3A	'3015	'3015	9 skip certain types
'FE3C	'1.1	'Pe	'Vert	PRESENTATION FORM FOR VERTICAL RIGHT BLACK LENTICULAR BRACKET	'︼	'︼	'】	'】		Tr≠NF	Tr≠UCA	'FE3C	'FE3C	'3011	'3011	9 skip certain types
'FE3E	'1.1	'Pe	'Vert	PRESENTATION FORM FOR VERTICAL RIGHT DOUBLE ANGLE BRACKET	'︾	'︾	'》	'》		Tr≠NF	Tr≠UCA	'FE3E	'FE3E	'300B	'300B	9 skip certain types
'FE40	'1.1	'Pe	'Vert	PRESENTATION FORM FOR VERTICAL RIGHT ANGLE BRACKET	'﹀	'﹀	'〉	'〉		Tr≠NF	Tr≠UCA	'FE40	'FE40	'3009	'232A	9 skip certain types
'FE42	'1.1	'Pe	'Vert	PRESENTATION FORM FOR VERTICAL RIGHT CORNER BRACKET	'﹂	'﹂	'」	'」		Tr≠NF	Tr≠UCA	'FE42	'FE42	'300D	'300D	9 skip certain types
'FE44	'1.1	'Pe	'Vert	PRESENTATION FORM FOR VERTICAL RIGHT WHITE CORNER BRACKET	'﹄	'﹄	'』	'』		Tr≠NF	Tr≠UCA	'FE44	'FE44	'300F	'300F	9 skip certain types
'FE48	'4.0	'Pe	'Vert	PRESENTATION FORM FOR VERTICAL RIGHT SQUARE BRACKET	'﹈	'﹈	']	']		Tr≠NF	Tr≠UCA	'FE48	'FE48	'005D	'005D	9 skip certain types
'2011	'1.1	'Pd	'Nb	NON-BREAKING HYPHEN	'‑	'‐	'‐	'‐	Tr≠N4M			'2011	'2010	'2010	'2010	16. NFKC_CF-Nobreak
'FE58	'1.1	'Pd	'Sml	SMALL EM DASH	'﹘	'—	'—	'—	Tr≠N4M			'FE58	'2014	'2014	'2014	16. NFKC_CF-Small
'FE63	'1.1	'Pd	'Sml	SMALL HYPHEN-MINUS	'﹣	'-	'-	'-	Tr≠N4M			'FE63	'002D	'002D	'002D	16. NFKC_CF-Small
'FE31	'1.1	'Pd	'Vert	PRESENTATION FORM FOR VERTICAL EM DASH	'︱	'︱	'—	'—		Tr≠NF	Tr≠UCA	'FE31	'FE31	'2014	'2014	9 skip certain types
'FE32	'1.1	'Pd	'Vert	PRESENTATION FORM FOR VERTICAL EN DASH	'︲	'︲	'–	'–		Tr≠NF	Tr≠UCA	'FE32	'FE32	'2013	'2013	9 skip certain types
'FE4D	'1.1	'Pc	'Com	DASHED LOW LINE	'﹍	'_	'_	'_	Tr≠N4M			'FE4D	'005F	'005F	'005F	16. NFKC_CF-Compat
'FE4E	'1.1	'Pc	'Com	CENTRELINE LOW LINE	'﹎	'_	'_	'_	Tr≠N4M			'FE4E	'005F	'005F	'005F	16. NFKC_CF-Compat
'FE4F	'1.1	'Pc	'Com	WAVY LOW LINE	'﹏	'_	'_	'_	Tr≠N4M			'FE4F	'005F	'005F	'005F	16. NFKC_CF-Compat
'FE33	'1.1	'Pc	'Vert	PRESENTATION FORM FOR VERTICAL LOW LINE	'︳	'︳	'_	'_		Tr≠NF	Tr≠UCA	'FE33	'FE33	'005F	'005F	9 skip certain types
'FE34	'1.1	'Pc	'Vert	PRESENTATION FORM FOR VERTICAL WAVY LOW LINE	'︴	'︴	'_	'_		Tr≠NF	Tr≠UCA	'FE34	'FE34	'005F	'005F	9 skip certain types
'1F100	'5.2	'No	'Com	DIGIT ZERO FULL STOP	'🄀	'0.	'0.	'0.	Tr≠N4M			'1F100	'0030 002E	'0030 002E	'0030 002E	16. NFKC_CF-Compat
'1F101	'5.2	'No	'Com	DIGIT ZERO COMMA	'🄁	'0,	'0,	'0,	Tr≠N4M			'1F101	'0030 002C	'0030 002C	'0030 002C	16. NFKC_CF-Compat
'1F102	'5.2	'No	'Com	DIGIT ONE COMMA	'🄂	'1,	'1,	'1,	Tr≠N4M			'1F102	'0031 002C	'0031 002C	'0031 002C	16. NFKC_CF-Compat
'1F103	'5.2	'No	'Com	DIGIT TWO COMMA	'🄃	'2,	'2,	'2,	Tr≠N4M			'1F103	'0032 002C	'0032 002C	'0032 002C	16. NFKC_CF-Compat
'1F104	'5.2	'No	'Com	DIGIT THREE COMMA	'🄄	'3,	'3,	'3,	Tr≠N4M			'1F104	'0033 002C	'0033 002C	'0033 002C	16. NFKC_CF-Compat
'1F105	'5.2	'No	'Com	DIGIT FOUR COMMA	'🄅	'4,	'4,	'4,	Tr≠N4M			'1F105	'0034 002C	'0034 002C	'0034 002C	16. NFKC_CF-Compat
'1F106	'5.2	'No	'Com	DIGIT FIVE COMMA	'🄆	'5,	'5,	'5,	Tr≠N4M			'1F106	'0035 002C	'0035 002C	'0035 002C	16. NFKC_CF-Compat
'1F107	'5.2	'No	'Com	DIGIT SIX COMMA	'🄇	'6,	'6,	'6,	Tr≠N4M			'1F107	'0036 002C	'0036 002C	'0036 002C	16. NFKC_CF-Compat
