# Cases where N4M differs from XNFKCCF
# Source; 	Target; 	Other; 	Reason(s); 	Comments

#@override reason=04+. digraph

1EFA;	1EFB;	006C 006C;	04+. digraph	 # ( Ỻ → ỻ )	LATIN CAPITAL LETTER MIDDLE-WELSH LL → LATIN SMALL LETTER MIDDLE-WELSH LL
3298;	3298;	52B4;	other	 # ( ㊘ → ㊘ )	CIRCLED IDEOGRAPH LABOR → CIRCLED IDEOGRAPH LABOR
3299;	3299;	79D8;	other	 # ( ㊙ → ㊙ )	CIRCLED IDEOGRAPH SECRET → CIRCLED IDEOGRAPH SECRET
329A;	329A;	7537;	other	 # ( ㊚ → ㊚ )	CIRCLED IDEOGRAPH MALE → CIRCLED IDEOGRAPH MALE
329B;	329B;	5973;	other	 # ( ㊛ → ㊛ )	CIRCLED IDEOGRAPH FEMALE → CIRCLED IDEOGRAPH FEMALE
329C;	329C;	9069;	other	 # ( ㊜ → ㊜ )	CIRCLED IDEOGRAPH SUITABLE → CIRCLED IDEOGRAPH SUITABLE
329D;	329D;	512A;	other	 # ( ㊝ → ㊝ )	CIRCLED IDEOGRAPH EXCELLENT → CIRCLED IDEOGRAPH EXCELLENT
329E;	329E;	5370;	other	 # ( ㊞ → ㊞ )	CIRCLED IDEOGRAPH PRINT → CIRCLED IDEOGRAPH PRINT
329F;	329F;	6CE8;	other	 # ( ㊟ → ㊟ )	CIRCLED IDEOGRAPH ATTENTION → CIRCLED IDEOGRAPH ATTENTION
32A0;	32A0;	9805;	other	 # ( ㊠ → ㊠ )	CIRCLED IDEOGRAPH ITEM → CIRCLED IDEOGRAPH ITEM
32A1;	32A1;	4F11;	other	 # ( ㊡ → ㊡ )	CIRCLED IDEOGRAPH REST → CIRCLED IDEOGRAPH REST
32A2;	32A2;	5199;	other	 # ( ㊢ → ㊢ )	CIRCLED IDEOGRAPH COPY → CIRCLED IDEOGRAPH COPY
32A3;	32A3;	6B63;	other	 # ( ㊣ → ㊣ )	CIRCLED IDEOGRAPH CORRECT → CIRCLED IDEOGRAPH CORRECT
32A4;	32A4;	4E0A;	other	 # ( ㊤ → ㊤ )	CIRCLED IDEOGRAPH HIGH → CIRCLED IDEOGRAPH HIGH
32A5;	32A5;	4E2D;	other	 # ( ㊥ → ㊥ )	CIRCLED IDEOGRAPH CENTRE → CIRCLED IDEOGRAPH CENTRE
32A6;	32A6;	4E0B;	other	 # ( ㊦ → ㊦ )	CIRCLED IDEOGRAPH LOW → CIRCLED IDEOGRAPH LOW
32A7;	32A7;	5DE6;	other	 # ( ㊧ → ㊧ )	CIRCLED IDEOGRAPH LEFT → CIRCLED IDEOGRAPH LEFT
32A8;	32A8;	53F3;	other	 # ( ㊨ → ㊨ )	CIRCLED IDEOGRAPH RIGHT → CIRCLED IDEOGRAPH RIGHT
32A9;	32A9;	533B;	other	 # ( ㊩ → ㊩ )	CIRCLED IDEOGRAPH MEDICINE → CIRCLED IDEOGRAPH MEDICINE
32AA;	32AA;	5B97;	other	 # ( ㊪ → ㊪ )	CIRCLED IDEOGRAPH RELIGION → CIRCLED IDEOGRAPH RELIGION
32AB;	32AB;	5B66;	other	 # ( ㊫ → ㊫ )	CIRCLED IDEOGRAPH STUDY → CIRCLED IDEOGRAPH STUDY
32AC;	32AC;	76E3;	other	 # ( ㊬ → ㊬ )	CIRCLED IDEOGRAPH SUPERVISE → CIRCLED IDEOGRAPH SUPERVISE
32AD;	32AD;	4F01;	other	 # ( ㊭ → ㊭ )	CIRCLED IDEOGRAPH ENTERPRISE → CIRCLED IDEOGRAPH ENTERPRISE
32AE;	32AE;	8CC7;	other	 # ( ㊮ → ㊮ )	CIRCLED IDEOGRAPH RESOURCE → CIRCLED IDEOGRAPH RESOURCE
32AF;	32AF;	5354;	other	 # ( ㊯ → ㊯ )	CIRCLED IDEOGRAPH ALLIANCE → CIRCLED IDEOGRAPH ALLIANCE
32B0;	32B0;	591C;	other	 # ( ㊰ → ㊰ )	CIRCLED IDEOGRAPH NIGHT → CIRCLED IDEOGRAPH NIGHT
32B1;	32B1;	0033 0036;	other	 # ( ㊱ → ㊱ )	CIRCLED NUMBER THIRTY SIX → CIRCLED NUMBER THIRTY SIX
32B2;	32B2;	0033 0037;	other	 # ( ㊲ → ㊲ )	CIRCLED NUMBER THIRTY SEVEN → CIRCLED NUMBER THIRTY SEVEN
32B3;	32B3;	0033 0038;	other	 # ( ㊳ → ㊳ )	CIRCLED NUMBER THIRTY EIGHT → CIRCLED NUMBER THIRTY EIGHT
32B4;	32B4;	0033 0039;	other	 # ( ㊴ → ㊴ )	CIRCLED NUMBER THIRTY NINE → CIRCLED NUMBER THIRTY NINE
32B5;	32B5;	0034 0030;	other	 # ( ㊵ → ㊵ )	CIRCLED NUMBER FORTY → CIRCLED NUMBER FORTY
32B6;	32B6;	0034 0031;	other	 # ( ㊶ → ㊶ )	CIRCLED NUMBER FORTY ONE → CIRCLED NUMBER FORTY ONE
32B7;	32B7;	0034 0032;	other	 # ( ㊷ → ㊷ )	CIRCLED NUMBER FORTY TWO → CIRCLED NUMBER FORTY TWO
32B8;	32B8;	0034 0033;	other	 # ( ㊸ → ㊸ )	CIRCLED NUMBER FORTY THREE → CIRCLED NUMBER FORTY THREE
32B9;	32B9;	0034 0034;	other	 # ( ㊹ → ㊹ )	CIRCLED NUMBER FORTY FOUR → CIRCLED NUMBER FORTY FOUR
32BA;	32BA;	0034 0035;	other	 # ( ㊺ → ㊺ )	CIRCLED NUMBER FORTY FIVE → CIRCLED NUMBER FORTY FIVE
32BB;	32BB;	0034 0036;	other	 # ( ㊻ → ㊻ )	CIRCLED NUMBER FORTY SIX → CIRCLED NUMBER FORTY SIX
32BC;	32BC;	0034 0037;	other	 # ( ㊼ → ㊼ )	CIRCLED NUMBER FORTY SEVEN → CIRCLED NUMBER FORTY SEVEN
32BD;	32BD;	0034 0038;	other	 # ( ㊽ → ㊽ )	CIRCLED NUMBER FORTY EIGHT → CIRCLED NUMBER FORTY EIGHT
32BE;	32BE;	0034 0039;	other	 # ( ㊾ → ㊾ )	CIRCLED NUMBER FORTY NINE → CIRCLED NUMBER FORTY NINE
32BF;	32BF;	0035 0030;	other	 # ( ㊿ → ㊿ )	CIRCLED NUMBER FIFTY → CIRCLED NUMBER FIFTY
32C0;	32C0;	0031 6708;	other	 # ( ㋀ → ㋀ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR JANUARY → IDEOGRAPHIC TELEGRAPH SYMBOL FOR JANUARY
32C1;	32C1;	0032 6708;	other	 # ( ㋁ → ㋁ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR FEBRUARY → IDEOGRAPHIC TELEGRAPH SYMBOL FOR FEBRUARY
32C2;	32C2;	0033 6708;	other	 # ( ㋂ → ㋂ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR MARCH → IDEOGRAPHIC TELEGRAPH SYMBOL FOR MARCH
32C3;	32C3;	0034 6708;	other	 # ( ㋃ → ㋃ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR APRIL → IDEOGRAPHIC TELEGRAPH SYMBOL FOR APRIL
32C4;	32C4;	0035 6708;	other	 # ( ㋄ → ㋄ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR MAY → IDEOGRAPHIC TELEGRAPH SYMBOL FOR MAY
32C5;	32C5;	0036 6708;	other	 # ( ㋅ → ㋅ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR JUNE → IDEOGRAPHIC TELEGRAPH SYMBOL FOR JUNE
32C6;	32C6;	0037 6708;	other	 # ( ㋆ → ㋆ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR JULY → IDEOGRAPHIC TELEGRAPH SYMBOL FOR JULY
32C7;	32C7;	0038 6708;	other	 # ( ㋇ → ㋇ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR AUGUST → IDEOGRAPHIC TELEGRAPH SYMBOL FOR AUGUST
32C8;	32C8;	0039 6708;	other	 # ( ㋈ → ㋈ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR SEPTEMBER → IDEOGRAPHIC TELEGRAPH SYMBOL FOR SEPTEMBER
32C9;	32C9;	0031 0030 6708;	other	 # ( ㋉ → ㋉ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR OCTOBER → IDEOGRAPHIC TELEGRAPH SYMBOL FOR OCTOBER
32CA;	32CA;	0031 0031 6708;	other	 # ( ㋊ → ㋊ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR NOVEMBER → IDEOGRAPHIC TELEGRAPH SYMBOL FOR NOVEMBER
32CB;	32CB;	0031 0032 6708;	other	 # ( ㋋ → ㋋ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DECEMBER → IDEOGRAPHIC TELEGRAPH SYMBOL FOR DECEMBER
32CC;	32CC;	0068 0067;	other	 # ( ㋌ → ㋌ )	SQUARE HG → SQUARE HG
32CD;	32CD;	0065 0072 0067;	other	 # ( ㋍ → ㋍ )	SQUARE ERG → SQUARE ERG
32CE;	32CE;	0065 0076;	other	 # ( ㋎ → ㋎ )	SQUARE EV → SQUARE EV
32CF;	32CF;	006C 0074 0064;	other	 # ( ㋏ → ㋏ )	LIMITED LIABILITY SIGN → LIMITED LIABILITY SIGN
32D0;	32D0;	30A2;	other	 # ( ㋐ → ㋐ )	CIRCLED KATAKANA A → CIRCLED KATAKANA A
32D1;	32D1;	30A4;	other	 # ( ㋑ → ㋑ )	CIRCLED KATAKANA I → CIRCLED KATAKANA I
32D2;	32D2;	30A6;	other	 # ( ㋒ → ㋒ )	CIRCLED KATAKANA U → CIRCLED KATAKANA U
32D3;	32D3;	30A8;	other	 # ( ㋓ → ㋓ )	CIRCLED KATAKANA E → CIRCLED KATAKANA E
32D4;	32D4;	30AA;	other	 # ( ㋔ → ㋔ )	CIRCLED KATAKANA O → CIRCLED KATAKANA O
32D5;	32D5;	30AB;	other	 # ( ㋕ → ㋕ )	CIRCLED KATAKANA KA → CIRCLED KATAKANA KA
32D6;	32D6;	30AD;	other	 # ( ㋖ → ㋖ )	CIRCLED KATAKANA KI → CIRCLED KATAKANA KI
32D7;	32D7;	30AF;	other	 # ( ㋗ → ㋗ )	CIRCLED KATAKANA KU → CIRCLED KATAKANA KU
32D8;	32D8;	30B1;	other	 # ( ㋘ → ㋘ )	CIRCLED KATAKANA KE → CIRCLED KATAKANA KE
32D9;	32D9;	30B3;	other	 # ( ㋙ → ㋙ )	CIRCLED KATAKANA KO → CIRCLED KATAKANA KO
32DA;	32DA;	30B5;	other	 # ( ㋚ → ㋚ )	CIRCLED KATAKANA SA → CIRCLED KATAKANA SA
32DB;	32DB;	30B7;	other	 # ( ㋛ → ㋛ )	CIRCLED KATAKANA SI → CIRCLED KATAKANA SI
32DC;	32DC;	30B9;	other	 # ( ㋜ → ㋜ )	CIRCLED KATAKANA SU → CIRCLED KATAKANA SU
32DD;	32DD;	30BB;	other	 # ( ㋝ → ㋝ )	CIRCLED KATAKANA SE → CIRCLED KATAKANA SE
32DE;	32DE;	30BD;	other	 # ( ㋞ → ㋞ )	CIRCLED KATAKANA SO → CIRCLED KATAKANA SO
32DF;	32DF;	30BF;	other	 # ( ㋟ → ㋟ )	CIRCLED KATAKANA TA → CIRCLED KATAKANA TA
32E0;	32E0;	30C1;	other	 # ( ㋠ → ㋠ )	CIRCLED KATAKANA TI → CIRCLED KATAKANA TI
32E1;	32E1;	30C4;	other	 # ( ㋡ → ㋡ )	CIRCLED KATAKANA TU → CIRCLED KATAKANA TU
32E2;	32E2;	30C6;	other	 # ( ㋢ → ㋢ )	CIRCLED KATAKANA TE → CIRCLED KATAKANA TE
32E3;	32E3;	30C8;	other	 # ( ㋣ → ㋣ )	CIRCLED KATAKANA TO → CIRCLED KATAKANA TO
32E4;	32E4;	30CA;	other	 # ( ㋤ → ㋤ )	CIRCLED KATAKANA NA → CIRCLED KATAKANA NA
32E5;	32E5;	30CB;	other	 # ( ㋥ → ㋥ )	CIRCLED KATAKANA NI → CIRCLED KATAKANA NI
32E6;	32E6;	30CC;	other	 # ( ㋦ → ㋦ )	CIRCLED KATAKANA NU → CIRCLED KATAKANA NU
32E7;	32E7;	30CD;	other	 # ( ㋧ → ㋧ )	CIRCLED KATAKANA NE → CIRCLED KATAKANA NE
32E8;	32E8;	30CE;	other	 # ( ㋨ → ㋨ )	CIRCLED KATAKANA NO → CIRCLED KATAKANA NO
32E9;	32E9;	30CF;	other	 # ( ㋩ → ㋩ )	CIRCLED KATAKANA HA → CIRCLED KATAKANA HA
32EA;	32EA;	30D2;	other	 # ( ㋪ → ㋪ )	CIRCLED KATAKANA HI → CIRCLED KATAKANA HI
32EB;	32EB;	30D5;	other	 # ( ㋫ → ㋫ )	CIRCLED KATAKANA HU → CIRCLED KATAKANA HU
32EC;	32EC;	30D8;	other	 # ( ㋬ → ㋬ )	CIRCLED KATAKANA HE → CIRCLED KATAKANA HE
32ED;	32ED;	30DB;	other	 # ( ㋭ → ㋭ )	CIRCLED KATAKANA HO → CIRCLED KATAKANA HO
32EE;	32EE;	30DE;	other	 # ( ㋮ → ㋮ )	CIRCLED KATAKANA MA → CIRCLED KATAKANA MA
32EF;	32EF;	30DF;	other	 # ( ㋯ → ㋯ )	CIRCLED KATAKANA MI → CIRCLED KATAKANA MI
32F0;	32F0;	30E0;	other	 # ( ㋰ → ㋰ )	CIRCLED KATAKANA MU → CIRCLED KATAKANA MU
32F1;	32F1;	30E1;	other	 # ( ㋱ → ㋱ )	CIRCLED KATAKANA ME → CIRCLED KATAKANA ME
32F2;	32F2;	30E2;	other	 # ( ㋲ → ㋲ )	CIRCLED KATAKANA MO → CIRCLED KATAKANA MO
32F3;	32F3;	30E4;	other	 # ( ㋳ → ㋳ )	CIRCLED KATAKANA YA → CIRCLED KATAKANA YA
32F4;	32F4;	30E6;	other	 # ( ㋴ → ㋴ )	CIRCLED KATAKANA YU → CIRCLED KATAKANA YU
32F5;	32F5;	30E8;	other	 # ( ㋵ → ㋵ )	CIRCLED KATAKANA YO → CIRCLED KATAKANA YO
32F6;	32F6;	30E9;	other	 # ( ㋶ → ㋶ )	CIRCLED KATAKANA RA → CIRCLED KATAKANA RA
32F7;	32F7;	30EA;	other	 # ( ㋷ → ㋷ )	CIRCLED KATAKANA RI → CIRCLED KATAKANA RI
32F8;	32F8;	30EB;	other	 # ( ㋸ → ㋸ )	CIRCLED KATAKANA RU → CIRCLED KATAKANA RU
32F9;	32F9;	30EC;	other	 # ( ㋹ → ㋹ )	CIRCLED KATAKANA RE → CIRCLED KATAKANA RE
32FA;	32FA;	30ED;	other	 # ( ㋺ → ㋺ )	CIRCLED KATAKANA RO → CIRCLED KATAKANA RO
32FB;	32FB;	30EF;	other	 # ( ㋻ → ㋻ )	CIRCLED KATAKANA WA → CIRCLED KATAKANA WA
32FC;	32FC;	30F0;	other	 # ( ㋼ → ㋼ )	CIRCLED KATAKANA WI → CIRCLED KATAKANA WI
32FD;	32FD;	30F1;	other	 # ( ㋽ → ㋽ )	CIRCLED KATAKANA WE → CIRCLED KATAKANA WE
32FE;	32FE;	30F2;	other	 # ( ㋾ → ㋾ )	CIRCLED KATAKANA WO → CIRCLED KATAKANA WO
3300;	3300;	30A2 30D1 30FC 30C8;	other	 # ( ㌀ → ㌀ )	SQUARE APAATO → SQUARE APAATO
3301;	3301;	30A2 30EB 30D5 30A1;	other	 # ( ㌁ → ㌁ )	SQUARE ARUHUA → SQUARE ARUHUA
3302;	3302;	30A2 30F3 30DA 30A2;	other	 # ( ㌂ → ㌂ )	SQUARE ANPEA → SQUARE ANPEA
3303;	3303;	30A2 30FC 30EB;	other	 # ( ㌃ → ㌃ )	SQUARE AARU → SQUARE AARU
3304;	3304;	30A4 30CB 30F3 30B0;	other	 # ( ㌄ → ㌄ )	SQUARE ININGU → SQUARE ININGU
3305;	3305;	30A4 30F3 30C1;	other	 # ( ㌅ → ㌅ )	SQUARE INTI → SQUARE INTI
3306;	3306;	30A6 30A9 30F3;	other	 # ( ㌆ → ㌆ )	SQUARE UON → SQUARE UON
3307;	3307;	30A8 30B9 30AF 30FC 30C9;	other	 # ( ㌇ → ㌇ )	SQUARE ESUKUUDO → SQUARE ESUKUUDO
3308;	3308;	30A8 30FC 30AB 30FC;	other	 # ( ㌈ → ㌈ )	SQUARE EEKAA → SQUARE EEKAA
3309;	3309;	30AA 30F3 30B9;	other	 # ( ㌉ → ㌉ )	SQUARE ONSU → SQUARE ONSU
330A;	330A;	30AA 30FC 30E0;	other	 # ( ㌊ → ㌊ )	SQUARE OOMU → SQUARE OOMU
330B;	330B;	30AB 30A4 30EA;	other	 # ( ㌋ → ㌋ )	SQUARE KAIRI → SQUARE KAIRI
330C;	330C;	30AB 30E9 30C3 30C8;	other	 # ( ㌌ → ㌌ )	SQUARE KARATTO → SQUARE KARATTO
330D;	330D;	30AB 30ED 30EA 30FC;	other	 # ( ㌍ → ㌍ )	SQUARE KARORII → SQUARE KARORII
330E;	330E;	30AC 30ED 30F3;	other	 # ( ㌎ → ㌎ )	SQUARE GARON → SQUARE GARON
330F;	330F;	30AC 30F3 30DE;	other	 # ( ㌏ → ㌏ )	SQUARE GANMA → SQUARE GANMA
3310;	3310;	30AE 30AC;	other	 # ( ㌐ → ㌐ )	SQUARE GIGA → SQUARE GIGA
3311;	3311;	30AE 30CB 30FC;	other	 # ( ㌑ → ㌑ )	SQUARE GINII → SQUARE GINII
3312;	3312;	30AD 30E5 30EA 30FC;	other	 # ( ㌒ → ㌒ )	SQUARE KYURII → SQUARE KYURII
3313;	3313;	30AE 30EB 30C0 30FC;	other	 # ( ㌓ → ㌓ )	SQUARE GIRUDAA → SQUARE GIRUDAA
3314;	3314;	30AD 30ED;	other	 # ( ㌔ → ㌔ )	SQUARE KIRO → SQUARE KIRO
3315;	3315;	30AD 30ED 30B0 30E9 30E0;	other	 # ( ㌕ → ㌕ )	SQUARE KIROGURAMU → SQUARE KIROGURAMU
3316;	3316;	30AD 30ED 30E1 30FC 30C8 30EB;	other	 # ( ㌖ → ㌖ )	SQUARE KIROMEETORU → SQUARE KIROMEETORU
3317;	3317;	30AD 30ED 30EF 30C3 30C8;	other	 # ( ㌗ → ㌗ )	SQUARE KIROWATTO → SQUARE KIROWATTO
3318;	3318;	30B0 30E9 30E0;	other	 # ( ㌘ → ㌘ )	SQUARE GURAMU → SQUARE GURAMU
3319;	3319;	30B0 30E9 30E0 30C8 30F3;	other	 # ( ㌙ → ㌙ )	SQUARE GURAMUTON → SQUARE GURAMUTON
331A;	331A;	30AF 30EB 30BC 30A4 30ED;	other	 # ( ㌚ → ㌚ )	SQUARE KURUZEIRO → SQUARE KURUZEIRO
331B;	331B;	30AF 30ED 30FC 30CD;	other	 # ( ㌛ → ㌛ )	SQUARE KUROONE → SQUARE KUROONE
331C;	331C;	30B1 30FC 30B9;	other	 # ( ㌜ → ㌜ )	SQUARE KEESU → SQUARE KEESU
331D;	331D;	30B3 30EB 30CA;	other	 # ( ㌝ → ㌝ )	SQUARE KORUNA → SQUARE KORUNA
331E;	331E;	30B3 30FC 30DD;	other	 # ( ㌞ → ㌞ )	SQUARE KOOPO → SQUARE KOOPO
331F;	331F;	30B5 30A4 30AF 30EB;	other	 # ( ㌟ → ㌟ )	SQUARE SAIKURU → SQUARE SAIKURU
3320;	3320;	30B5 30F3 30C1 30FC 30E0;	other	 # ( ㌠ → ㌠ )	SQUARE SANTIIMU → SQUARE SANTIIMU
3321;	3321;	30B7 30EA 30F3 30B0;	other	 # ( ㌡ → ㌡ )	SQUARE SIRINGU → SQUARE SIRINGU
3322;	3322;	30BB 30F3 30C1;	other	 # ( ㌢ → ㌢ )	SQUARE SENTI → SQUARE SENTI
3323;	3323;	30BB 30F3 30C8;	other	 # ( ㌣ → ㌣ )	SQUARE SENTO → SQUARE SENTO
3324;	3324;	30C0 30FC 30B9;	other	 # ( ㌤ → ㌤ )	SQUARE DAASU → SQUARE DAASU
3325;	3325;	30C7 30B7;	other	 # ( ㌥ → ㌥ )	SQUARE DESI → SQUARE DESI
3326;	3326;	30C9 30EB;	other	 # ( ㌦ → ㌦ )	SQUARE DORU → SQUARE DORU
3327;	3327;	30C8 30F3;	other	 # ( ㌧ → ㌧ )	SQUARE TON → SQUARE TON
3328;	3328;	30CA 30CE;	other	 # ( ㌨ → ㌨ )	SQUARE NANO → SQUARE NANO
3329;	3329;	30CE 30C3 30C8;	other	 # ( ㌩ → ㌩ )	SQUARE NOTTO → SQUARE NOTTO
332A;	332A;	30CF 30A4 30C4;	other	 # ( ㌪ → ㌪ )	SQUARE HAITU → SQUARE HAITU
332B;	332B;	30D1 30FC 30BB 30F3 30C8;	other	 # ( ㌫ → ㌫ )	SQUARE PAASENTO → SQUARE PAASENTO
332C;	332C;	30D1 30FC 30C4;	other	 # ( ㌬ → ㌬ )	SQUARE PAATU → SQUARE PAATU
332D;	332D;	30D0 30FC 30EC 30EB;	other	 # ( ㌭ → ㌭ )	SQUARE BAARERU → SQUARE BAARERU
332E;	332E;	30D4 30A2 30B9 30C8 30EB;	other	 # ( ㌮ → ㌮ )	SQUARE PIASUTORU → SQUARE PIASUTORU
332F;	332F;	30D4 30AF 30EB;	other	 # ( ㌯ → ㌯ )	SQUARE PIKURU → SQUARE PIKURU
3330;	3330;	30D4 30B3;	other	 # ( ㌰ → ㌰ )	SQUARE PIKO → SQUARE PIKO
3331;	3331;	30D3 30EB;	other	 # ( ㌱ → ㌱ )	SQUARE BIRU → SQUARE BIRU
3332;	3332;	30D5 30A1 30E9 30C3 30C9;	other	 # ( ㌲ → ㌲ )	SQUARE HUARADDO → SQUARE HUARADDO
3333;	3333;	30D5 30A3 30FC 30C8;	other	 # ( ㌳ → ㌳ )	SQUARE HUIITO → SQUARE HUIITO
3334;	3334;	30D6 30C3 30B7 30A7 30EB;	other	 # ( ㌴ → ㌴ )	SQUARE BUSSYERU → SQUARE BUSSYERU
3335;	3335;	30D5 30E9 30F3;	other	 # ( ㌵ → ㌵ )	SQUARE HURAN → SQUARE HURAN
3336;	3336;	30D8 30AF 30BF 30FC 30EB;	other	 # ( ㌶ → ㌶ )	SQUARE HEKUTAARU → SQUARE HEKUTAARU
3337;	3337;	30DA 30BD;	other	 # ( ㌷ → ㌷ )	SQUARE PESO → SQUARE PESO
3338;	3338;	30DA 30CB 30D2;	other	 # ( ㌸ → ㌸ )	SQUARE PENIHI → SQUARE PENIHI
3339;	3339;	30D8 30EB 30C4;	other	 # ( ㌹ → ㌹ )	SQUARE HERUTU → SQUARE HERUTU
333A;	333A;	30DA 30F3 30B9;	other	 # ( ㌺ → ㌺ )	SQUARE PENSU → SQUARE PENSU
333B;	333B;	30DA 30FC 30B8;	other	 # ( ㌻ → ㌻ )	SQUARE PEEZI → SQUARE PEEZI
333C;	333C;	30D9 30FC 30BF;	other	 # ( ㌼ → ㌼ )	SQUARE BEETA → SQUARE BEETA
333D;	333D;	30DD 30A4 30F3 30C8;	other	 # ( ㌽ → ㌽ )	SQUARE POINTO → SQUARE POINTO
333E;	333E;	30DC 30EB 30C8;	other	 # ( ㌾ → ㌾ )	SQUARE BORUTO → SQUARE BORUTO
333F;	333F;	30DB 30F3;	other	 # ( ㌿ → ㌿ )	SQUARE HON → SQUARE HON
3340;	3340;	30DD 30F3 30C9;	other	 # ( ㍀ → ㍀ )	SQUARE PONDO → SQUARE PONDO
3341;	3341;	30DB 30FC 30EB;	other	 # ( ㍁ → ㍁ )	SQUARE HOORU → SQUARE HOORU
3342;	3342;	30DB 30FC 30F3;	other	 # ( ㍂ → ㍂ )	SQUARE HOON → SQUARE HOON
3343;	3343;	30DE 30A4 30AF 30ED;	other	 # ( ㍃ → ㍃ )	SQUARE MAIKURO → SQUARE MAIKURO
3344;	3344;	30DE 30A4 30EB;	other	 # ( ㍄ → ㍄ )	SQUARE MAIRU → SQUARE MAIRU
3345;	3345;	30DE 30C3 30CF;	other	 # ( ㍅ → ㍅ )	SQUARE MAHHA → SQUARE MAHHA
3346;	3346;	30DE 30EB 30AF;	other	 # ( ㍆ → ㍆ )	SQUARE MARUKU → SQUARE MARUKU
3347;	3347;	30DE 30F3 30B7 30E7 30F3;	other	 # ( ㍇ → ㍇ )	SQUARE MANSYON → SQUARE MANSYON
3348;	3348;	30DF 30AF 30ED 30F3;	other	 # ( ㍈ → ㍈ )	SQUARE MIKURON → SQUARE MIKURON
3349;	3349;	30DF 30EA;	other	 # ( ㍉ → ㍉ )	SQUARE MIRI → SQUARE MIRI
334A;	334A;	30DF 30EA 30D0 30FC 30EB;	other	 # ( ㍊ → ㍊ )	SQUARE MIRIBAARU → SQUARE MIRIBAARU
334B;	334B;	30E1 30AC;	other	 # ( ㍋ → ㍋ )	SQUARE MEGA → SQUARE MEGA
334C;	334C;	30E1 30AC 30C8 30F3;	other	 # ( ㍌ → ㍌ )	SQUARE MEGATON → SQUARE MEGATON
334D;	334D;	30E1 30FC 30C8 30EB;	other	 # ( ㍍ → ㍍ )	SQUARE MEETORU → SQUARE MEETORU
334E;	334E;	30E4 30FC 30C9;	other	 # ( ㍎ → ㍎ )	SQUARE YAADO → SQUARE YAADO
334F;	334F;	30E4 30FC 30EB;	other	 # ( ㍏ → ㍏ )	SQUARE YAARU → SQUARE YAARU
3350;	3350;	30E6 30A2 30F3;	other	 # ( ㍐ → ㍐ )	SQUARE YUAN → SQUARE YUAN
3351;	3351;	30EA 30C3 30C8 30EB;	other	 # ( ㍑ → ㍑ )	SQUARE RITTORU → SQUARE RITTORU
3352;	3352;	30EA 30E9;	other	 # ( ㍒ → ㍒ )	SQUARE RIRA → SQUARE RIRA
3353;	3353;	30EB 30D4 30FC;	other	 # ( ㍓ → ㍓ )	SQUARE RUPII → SQUARE RUPII
3354;	3354;	30EB 30FC 30D6 30EB;	other	 # ( ㍔ → ㍔ )	SQUARE RUUBURU → SQUARE RUUBURU
3355;	3355;	30EC 30E0;	other	 # ( ㍕ → ㍕ )	SQUARE REMU → SQUARE REMU
3356;	3356;	30EC 30F3 30C8 30B2 30F3;	other	 # ( ㍖ → ㍖ )	SQUARE RENTOGEN → SQUARE RENTOGEN
3357;	3357;	30EF 30C3 30C8;	other	 # ( ㍗ → ㍗ )	SQUARE WATTO → SQUARE WATTO
3358;	3358;	0030 70B9;	other	 # ( ㍘ → ㍘ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ZERO → IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ZERO
3359;	3359;	0031 70B9;	other	 # ( ㍙ → ㍙ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ONE → IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ONE
335A;	335A;	0032 70B9;	other	 # ( ㍚ → ㍚ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWO → IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWO
335B;	335B;	0033 70B9;	other	 # ( ㍛ → ㍛ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THREE → IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THREE
335C;	335C;	0034 70B9;	other	 # ( ㍜ → ㍜ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FOUR → IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FOUR
335D;	335D;	0035 70B9;	other	 # ( ㍝ → ㍝ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIVE → IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIVE
335E;	335E;	0036 70B9;	other	 # ( ㍞ → ㍞ )	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIX → IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIX
